Doc_ID,Category,Description,Columns
12,Social Services,"This dataset provides benefit, program, and resource information for over 40 health and human services available to NYC residents. The data is kept up-to-date, including the most recent applications, eligibility requirements, and application dates. Information in this dataset is used on <a href=""http://access.nyc.gov"">ACCESS NYC</a> and <a href=""http://www.nyc.gov/growingupnyc"">Growing Up NYC</a>.","['Date', 'Unique ID number', 'Program code', 'Language', 'Program name', 'Program acronym, if any', 'Page type', 'Program category', 'Government agency', 'Population served', 'Age Group', 'Plain language program name', 'Program description', 'Brief excerpt', 'Heads up', 'Plain language eligibility', 'How to apply summary', 'How to apply or enroll online?', 'Apply online call to action', 'URL of online application', 'How to apply or enroll by mail?', 'Apply by mail call to action', 'Application forms', 'URL of PDF application forms', 'How to apply or enroll in person?', 'Apply in person call to action', 'Office locations URL', 'How to apply or enroll by phone?', 'Required documents summary', 'Get help summary', 'Get help in person', 'Get help online', 'Get help by email', 'Get help by calling , other than 311.', 'Get help by calling 311. Please provide what to ask for when calling 311']"
13,Education,Missing,"['DBN', 'School Name', 'Category', 'Year', 'Total Enrollment', '#Grade K', '#Grade 1', '#Grade 2', '#Grade 3', '#Grade 4', '#Grade 5', '#Grade 6', '#Grade 7', '#Grade 8', '#Female', '%Female', '#Male', '%Male', '#Asian', '%Asian', '#Black', '%Black', '#Hispanic', '%Hispanic', '#Other', '%Other', '#White', '%White', '#ELL Spanish', '%ELL Spanish', '#ELL Chinese', '%ELL Chinese', '#ELL Bengali', '%ELL Bengali', '#ELL Arabic', '%ELL Arabic', '#ELL Haitian Creole', '%ELL Haitian Creole', '#ELL French', '%ELL French', '#ELL Russian', '%ELL Russian', '#ELL Korean', '%ELL Korean', '#ELL Urdu', '%ELL Urdu', '#ELL Other', '%ELL Other', 'ELA #Test Takers', 'ELA #Level 1', 'ELA %Level 1', 'ELA #Level 2', 'ELA %Level 2', 'ELA #Level 3', 'ELA %Level 3', 'ELA #Level 4', 'ELA %Level 4', 'ELA #L3+L4', 'ELA %L3+L4', 'Math #Test Takers', 'Math #Level 1', 'Math %Level 1', 'Math #Level 2', 'Math %Level 2', 'Math #Level 3', 'Math %Level 3', 'Math #Level 4', 'Math %Level 4', 'Math #L3+L4', 'Math %L3+L4']"
14,Transportation,"This dataset includes trip records from all trips completed in green taxis in NYC in 2014.  Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Livery Passenger Enhancement Program (LPEP).  The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data.","['vendorid', 'pickup_datetime', 'dropoff_datetime', 'Store_and_fwd_flag', 'rate_code', 'Pickup_longitude', 'Pickup_latitude', 'Dropoff_longitude', 'Dropoff_latitude', 'Passenger_count', 'Trip_distance', 'Fare_amount', 'Extra', 'MTA_tax', 'Tip_amount', 'Tolls_amount', 'Ehail_fee', 'Total_amount', 'Payment_type', 'Trip_type']"
15,Education,Missing,"['district', 'Grade', 'Year', 'Category', 'Number Tested', 'Mean Scale Score', 'Level1_N', 'Level1_%', 'Level2_N', 'Level2_%', 'Level3_N', 'Level3_%', 'Level4_N', 'Level4_%', 'Level3+4_N', 'Level3+4_%']"
16,City Government,Parking Violations Issued Fiscal Year 2018 can be found here https://data.cityofnewyork.us/d/pvqr-7yc4Parking Violations Issued Fiscal Year 2016 can be found in the archived dataset here https://data.cityofnewyork.us/d/kiv2-tbusParking Violations Issued Fiscal Year 2015 can be found in the archived dataset here https://data.cityofnewyork.us/d/c284-tqphParking Violations Issued Fiscal Year 2014 can be found in the archived dataset here https://data.cityofnewyork.us/d/jt7v-77mi,"['Summons Number', 'Plate ID', 'Registration State', 'Plate Type', 'Issue Date', 'Violation Code', 'Vehicle Body Type', 'Vehicle Make', 'Issuing Agency', 'Street Code1', 'Street Code2', 'Street Code3', 'Vehicle Expiration Date', 'Violation Location', 'Violation Precinct', 'Issuer Precinct', 'Issuer Code', 'Issuer Command', 'Issuer Squad', 'Violation Time', 'Time First Observed', 'Violation County', 'Violation In Front Of Or Opposite', 'House Number', 'Street Name', 'Intersecting Street', 'Date First Observed', 'Law Section', 'Sub Division', 'Violation Legal Code', 'Days Parking In Effect    ', 'From Hours In Effect', 'To Hours In Effect', 'Vehicle Color', 'Unregistered Vehicle?', 'Vehicle Year', 'Meter Number', 'Feet From Curb', 'Violation Post Code', 'Violation Description', 'No Standing or Stopping Violation', 'Hydrant Violation', 'Double Parking Violation']"
17,City Government,"This dataset contains estimated fiscal year-end headcount information for full-time and full-time equivalent employees (FTE).  The information is summarized by agency, personnel type and funding.  The amount fields are whole numbers.  The numbers within can be summarized to match pages from the publication _ÑÒFull-Time and Full-Time Equivalent Staffing Levels_Ñ.","['Publication Date', 'Agency Number', 'Agency Name', 'Fiscal Year', 'Personnel Type Code', 'Personnel Type Name', 'Code for Full-Time & FTEs', 'Full-Time/Full-Time Equivalents/ FT + FTE Positions', 'City Funded Headcount', 'IFA Funded Headcount', 'CD Funded Headcount', 'Other Funded Headcount', 'Total']"
18,City Government,An agency-verified dataset of City-funded contracted social service provision locations.This is part of the <a <a href='https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=Verified+Locations+for+NYC+City-Funded+Social+Service+Contracts'>Verified Locations for NYC City-Funded Social Service Contracts collection</a>.,"['location_id', 'organization_id', 'name', 'latitude', 'longitude', 'bbl', 'bin', 'cd', 'council', 'nta', 'tract']"
19,Environment,"Citywide street tree data from the 2005 Street Tree Census, conducted partly by volunteers organized by NYC Parks & Recreation. Trees were inventoried by address, and were collected from 2005-2006. Data collected includes tree species, diameter, condition.","['OBJECTID', 'cen_year', 'tree_dbh', 'address', 'tree_loc', 'pit_type', 'soil_lvl', 'status', 'spc_latin', 'spc_common', 'vert_other', 'vert_pgrd', 'vert_tgrd', 'vert_wall', 'horz_blck', 'horz_grate', 'horz_plant', 'horz_other', 'sidw_crack', 'sidw_raise', 'wire_htap', 'wire_prime', 'wire_2nd', 'wire_other', 'inf_canopy', 'inf_guard', 'inf_wires', 'inf_paving', 'inf_outlet', 'inf_shoes', 'inf_lights', 'inf_other', 'trunk_dmg', 'zipcode', 'zip_city', 'cb_num', 'borocode', 'boroname', 'cncldist', 'st_assem', 'st_senate', 'nta', 'nta_name', 'boro_ct', 'state', 'latitude', 'longitude', 'x_sp', 'y_sp', 'objectid_1', 'census tract', 'bin', 'bbl', 'Location 1']"
20,Missing,"In June 2015, 18 New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2014-2015 school year, according to the guidelines set by Local Law 2011/043","['DBN', 'SchoolName', 'ByGroup', 'Demographic', 'Attendance Rate', '#', '% within Demographic', 'Total # within Demographic']"
21,Education,Five year plan summary cost by borough and  capital category.,"['Category', 'Subcategory', 'Work Type', 'FY15', 'FY16', 'FY17', 'FY18', 'FY19', 'Total']"
22,Health,"Water quality sample results collected by the Department of Health and Mental Hygiene at all New York City Beaches. These water quality results are used by the Department to determine the status (open, advisory, closed) of Beaches.","['Sample ID', 'Sample Date', 'Beach Name', 'Sample Location', 'Enterococci Results', 'Units or Notes']"
23,Education,Missing,"['DBN', 'LOCATION NAME', 'LOCATION CATEGORY', 'ADMINISTRATIVE DISTRICT', 'American Indian/Alaskan Native REMOVALS', 'American Indian/Alaskan Native PRINCIPAL', 'American Indian/Alaskan Native SUPERINTENDENT', 'American Indian/Alaskan Native EXPULSIONS', 'Asian REMOVALS', 'Asian PRINCIPAL', 'Asian SUPERINTENDENT', 'Asian EXPULSIONS', 'Black REMOVALS', 'Black PRINCIPAL', 'Black SUPERINTENDENT', 'Black EXPULSIONS', 'Hispanic REMOVALS', 'Hispanic PRINCIPAL', 'Hispanic SUPERINTENDENT', 'Hispanic EXPULSIONS', 'White REMOVALS', 'White PRINCIPAL', 'White SUPERINTENDENT', 'White EXPULSIONS', 'Multi-Racial REMOVALS', 'Multi-Racial PRINCIPAL', 'Multi-Racial SUPERINTENDENT', 'Multi-Racial EXPULSIONS', 'Unknown REMOVALS', 'Unknown PRINCIPAL', 'Unknown SUPERINTENDENT', 'Unknown EXPULSIONS']"
24,Transportation,"OPT maintains an inventory of all the vehicles used by contracted bus vendors in service to the Department of Education. The vehicles inventory can include school buses, ambulances or coach buses. This dataset details the active vehicle inventory for each bus vendor. There are a variety of different vehicles used to serve students requiring curb-to-curb service because an Individualized Education Plan (IEP) indicates specific transportation needs. The standard bus is the only vehicle used for general education students eligible for bus service but who do not have an IEP.","['School_Year', 'Vendor_Name', 'Vehicle_TypeDescription', 'Active_Vehicles']"
25,Education,Missing,"['District', 'Grade Level', 'Category', 'Average Frequency ', 'Average Minutes', '# of students who are receiving the required amount of physical education instruction', '% of students who are receiving the required amount of physical education instruction', '# of students who are receiving less than the required amount of physical education instruction', '% of students who are receiving less than the required amount of physical education instruction', '# of students who have an IEP that recommends adaptive physical education', '% of students who have an IEP that recommends adaptive physical education']"
26,Housing & Development,"This table displays currently advertised projects (type of work), estimated range ($) for project completion, bid date, time and projects description along with Project ID. It also provides link to plan holders information.","['#', 'TYPE OF WORK\xa0\xa0\xa0', 'ESTIMATED $ RANGE\xa0\xa0\xa0', 'BID DATE & TIME\xa0\xa0\xa0', 'PIN\xa0\xa0\xa0', 'PROJ ID\xa0\xa0\xa0', 'DESCRIPTION\xa0\xa0\xa0', 'PLAN HOLDERS']"
27,City Government,This table represents details of Family Health Plus insurance program. Family Health Plus is a public health insurance program for adults between the ages of 19 and 64 who do not have health insurance - either on their own or through their employers - but have incomes too high to qualify for Medicaid.  The Family Health Plus Premium Assistance Program is available to help eligible lower-income employees and their families participate in their employer_Ñés health insurance plan.,"['Family Size', 'Yearly Income ($)', 'Monthly Income ($)', 'Weekly Income ($)']"
28,Health,"Summary results from NYC Community Health Survey 2010-2014: adults ages 18 years and older Source: NYC Community Health Survey (CHS) 2010-14.The Community Health Survey (CHS) includes self-reported data from adults, years 18 and older. CHS has included adults with landline phones since 2002 and, starting in 2009, also has included adults who can be reached by cell-phone. Starting in 2011, CHS weighting methods were updated to use Census 2010 and additional demographic characteristics (http://www1.nyc.gov/assets/doh/downloads/pdf/epi/epiresearch-chsmethods.pdf ). Data are age-adjusted to the US 2000 Standard Population.	Data prepared by Bureau of Epidemiology Services, New York City Department of Health and Mental HygieneThe New York City Community Health Survey (CHS) is a telephone survey conducted annually by the DOHMH, Division of Epidemiology, Bureau of Epidemiology Services. CHS provides robust data on the health of New Yorkers, including neighborhood, borough, and citywide estimates on a broad range of chronic diseases and behavioral risk factors. The data are analyzed and disseminated to influence health program decisions, and increase the understanding of the relationship between health behavior and health status. For more information see EpiQuery, https://a816-healthpsi.nyc.gov/epiquery/CHS/CHSXIndex.html","['Survey', 'Question', 'Year', 'Prevalence', 'Lower95%CI', 'Upper95%CI']"
29,Transportation,"Monthly report including weekly total dispatched trips and unique dispatched vehicles by base tabulated from FHV Trip Record submissions made by bases. Note: The TLC publishes base trip record data as submitted by the bases, and we cannot guarantee or confirm their accuracy or completeness. Therefore, this may not represent the total amount of trips dispatched by all TLC-licensed bases. The TLC performs routine reviews of the records and takes enforcement actions when necessary to ensure, to the extent possible, complete and accurate information.","['Base License Number', 'Wave Number', 'Base Name', 'DBA', 'Years', 'Week Number', 'Pickup Start Date', 'Pickup End Date', 'Total Dispatched Trips', 'Unique Dispatched Vehicle']"
30,Education,Missing,"['DBN', 'School Name', 'Category', 'Year', 'Total Enrollment', '#Grade K', '#Grade 1', '#Grade 2', '#Grade 3', '#Grade 4', '#Grade 5', '#Grade 6', '#Grade 7', '#Grade 8', '#Female', '%Female', '#Male', '%Male', '#Asian', '%Asian', '#Black', '%Black', '#Hispanic', '%Hispanic', '#Other', '%Other', '#White', '%White ', '#ELL Spanish ', '%ELL Spanish', '#ELL Chinese', '%ELL Chinese', '#ELL Bengali', '%ELL Bengali', '#ELL Arabic', '%ELL Arabic', '#ELL Haitian Creole', '%ELL Haitian Creole', '#ELL French', '%ELL French', '#ELL Russian', '%ELL Russian', '#ELL Korean', '%ELL Korean', '#ELL Urdu', '%ELL Urdu', '#ELL Other', '%ELL Other', 'ELA #Test Takers', 'ELA #Level 1', 'ELA %Level 1', 'ELA #Level 2', 'ELA %Level 2', 'ELA #Level 3', 'ELA %Level 3', 'ELA #Level 4', 'ELA %Level 4', 'ELA #L3+L4', 'ELA %L3+L4', 'Math #Test Takers', 'MATH #Level 1', 'MATH %Level 1', 'MATH #Level 2', 'MATH %Level 2', 'MATH #Level 3', 'MATH %Level 3', 'MATH #Level 4', 'MATH %Level 4', 'MATH #L3+L4', 'MATH %L3 + L4']"
31,Public Safety,"Average daily inmate population by fiscal yearNote: The data for each of these indicators is based upon year of report, not year of occurrence.","['Fiscal year', 'Inmate Population']"
32,Public Safety,"A statistical breakdown of the age of Civilian Complaint Review Board (CCRB) substantiated cases, by year, measured from the date of the reports in the years 2205 through 2009.The age of the docket is measured by the number of open cases at the end of each reporting period.","['Age of Case in Months', '2005 Number of Cases', '2005 Percent of Docket', '2006 Number of Cases', '2006 Percent of Docket', '2007 Number of Cases', '2007 Percent of Docket', '2008 Number of Cases', '2008 Percent of Docket', '2009 Number of Cases', '2009 Percent of Docket']"
33,Transportation,A Dispatch Service Provider (DSP) can dispatch trips on behalf of the FHV (For-Hire-Vehicle) Base.,"['Licensee Number', 'Licensee Name', 'Alternate Name Of Licensee', 'Building', 'Street Address', 'Secondary Address', 'City', 'State', 'Post Code', 'Borough', 'Telephone Number', 'Last Updated Date', 'Last Updated Time', 'Latitude', 'Longitude', 'Community Board', 'Community Council ', 'Census Tract', 'BIN', 'BBL', 'NTA']"
34,Public Safety,"This is a breakdown of every collision in NYC by location and injury. This data is collected because the NYC Council passed Local Law #11 in 2011. This data is manually run every month and reviewed by the TrafficStat Unit before being posted on the NYPD website.  Each record represents a collision in NYC by city, borough, precinct and cross street. This data can be used by the public to see how dangerous/safe intersections are in NYC. The information is presented in pdf and excel format to allow the casual user to just view the information in the easy to read pdf format or use the excel files to do a more in-depth analysis.","['DATE', 'TIME', 'BOROUGH', 'ZIP CODE', 'LATITUDE', 'LONGITUDE', 'LOCATION', 'ON STREET NAME', 'CROSS STREET NAME', 'OFF STREET NAME', 'NUMBER OF PERSONS INJURED', 'NUMBER OF PERSONS KILLED', 'NUMBER OF PEDESTRIANS INJURED', 'NUMBER OF PEDESTRIANS KILLED', 'NUMBER OF CYCLIST INJURED', 'NUMBER OF CYCLIST KILLED', 'NUMBER OF MOTORIST INJURED', 'NUMBER OF MOTORIST KILLED', 'CONTRIBUTING FACTOR VEHICLE 1', 'CONTRIBUTING FACTOR VEHICLE 2', 'CONTRIBUTING FACTOR VEHICLE 3', 'CONTRIBUTING FACTOR VEHICLE 4', 'CONTRIBUTING FACTOR VEHICLE 5', 'UNIQUE KEY', 'VEHICLE TYPE CODE 1', 'VEHICLE TYPE CODE 2', 'VEHICLE TYPE CODE 3', 'VEHICLE TYPE CODE 4', 'VEHICLE TYPE CODE 5', 'LOCATION (zip)', 'LOCATION (city)', 'LOCATION (address)', 'LOCATION (state)', 'Zip Codes', 'Borough Boundaries', 'City Council Districts', 'Community Districts', 'Police Precincts']"
35,Education,Official audited register by school.,"['Year', 'DBN', 'School Name', 'Total Enrollment', 'Grade PK', 'Grade K', 'Grade 1', 'Grade 2', 'Grade 3', 'Grade 4', 'Grade 5', 'Grade 6', 'Grade 7', 'Grade 8', 'Grade 9', 'Grade 10', 'Grade 11', 'Grade 12', '# Female', '% Female', '# Male', '% Male', '# Asian', '% Asian', '# Black', '% Black', '# Hispanic', '% Hispanic', '# Other', '% Other', '# White', '% White', '# Students with Disabilities', '% Students with Disabilities', '# English Language Learners', '% English Language Learners', '# Qualified for Free or Reduced Lunches', '% Qualified for Free or Reduced Lunches', '# Poverty', '% Poverty']"
36,Environment,"2010 steam consumption in mlbs and Mg, by ZIP code and building type.","['ZIP', 'Building type (service class)', ' Consumption (mlbs) ', ' Consumption (Mg) ', 'Utility/Data Source']"
37,City Government,NYC agency performance indicators from the FY17 Mayor's Management Report (MMR)<i>Use _ÑÉCSV for Excel_Ñé when downloading this dataset and then sort in alphabetical order by Agency.<i>,"['Agency', 'MMR Goal', 'Critical', 'Performance Indicator', 'FY13', 'FY14', 'FY15', 'FY16', 'FY17', 'TGT17', 'TGT18', '5 Yr Trend', 'Desired Direction']"
38,City Government,The Doing Business Search provides access to information on entities and individuals that do business with the City of New York.http://www.nyc.gov/portal/site/DBusinessSite,"['MOCS PEOPLE ID', 'ORGANIZATION NAME', 'PERSON FIRST NAME', 'PERSON MIDDLE NAME', 'PERSON LAST NAME', 'PERSON_NAME_SUFFIX', 'RELATIONSHIP TYPE CODE', 'DOING BUSINESS START DATE', 'DOING BUSINESS END DATE']"
39,Education,Missing,"['DBN', 'School Name', 'Grade Level', 'Category', 'Average Frequency ', 'Average Minutes', '# of students who are receiving the required amount of physical education instruction', '%  of students who are receiving the required amount of physical education instruction', '# of students who are receiving less than the required amount of physical education instruction', '% of students who are receiving less than the required amount of physical education instruction', '# of students who have an IEP that recommends adaptive physical education', '%of students who have an IEP that recommends adaptive physical education']"
40,Education,"(Grades 3 - 8)Notes Starting in 2013, the NY State Education Department (NYSED) changed the exams to be Common Core aligned. Results on earlier exams from 2006-2012 can be found at this link: http://schools.nyc.gov/NR/exeres/05289E74-2D81-4CC0-81F6-E1143E28F4C4,frameless.htmResults presented here include all students who sat for either the Math or ELA exam. On the NYSED website, results for ""matched"" students can be found. To account for participation changes across years and anticipate the importance of year-to-year same-cohort comparisons for the Class of 2022, ""matched"" Math and ELA results were calculated to include 4th grade students who were tested in both the current and previous year and to include 5th _ÑÐ 8th grade students who were tested in all three years.In order to comply with FERPA regulations on public reporting of education outcomes, rows with 5 or fewer students are suppressed.For 2013, District 75 students are represented in their home districts and boroughs. For 2014 & 2015, they are not included.Charter schools are not included. School level charter data can be found here: http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResultsIn 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam. A change in State testing policy drove a decrease in eighth grade proficiency rates in 2014: to reduce double testing, most students in accelerated math courses who took the Algebra Regents exam were exempted from taking the 7th or 8th grade State math assessment.Former English Language Learners includes any students who were classified as English Language Learners in at least one of the previous two school years.","['Grade', 'Year', 'Category', 'Number Tested', 'Mean Scale Score', '# Level 1', '% Level 1', '# Level 2', '% Level 2', '# Level 3', '% Level 3', '# Level 4', '% Level 4', '# Level 3+4', '% Level 3+4']"
41,Public Safety,"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009","['Other Bureaus', '2005', '2006', '2007', '2008', '2009', 'Total']"
42,Education,Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by gender.,"['Grade', 'Year', 'Demographic', 'Number Tested', 'Mean Scale Score', 'Num Level 1', 'Pct Level 1', 'Num Level 2', 'Pct Level 2', 'Num Level 3', 'Pct Level 3', 'Num Level 4', 'Pct Level 4', 'Num Level 3 and 4', 'Pct Level 3 and 4']"
43,Public Safety,CCRB: Disposition of Abuse of Authority Allegations 2007,"['Type of Abuse of Authority Allegation', 'Substantiated Number', 'Sunstantiated rate', 'Exonerated number', 'Exonerated rate', 'Unsubstantiated number', 'Unsubstantiated rate', 'Unfounded number', 'Unfounded rate', 'Officer Unidentified number', 'Officer Unidentified rate', 'Miscellaneous', 'Miscellaneous rate']"
44,City Government,Local Law 50 of 2011 required MOCS to establish guidelines for City agencies that assist in increasing the purchase of New York State food through food purchase and food-related services contracts. City agencies use the New York State Department of Agriculture and Markets (NYSDAM) list of food items available from New York State sources.,"['Food Type', 'From New York State Source', 'Other Source - During New York State Availability Period', 'Other Source - Outside New York State Availability Period']"
