sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
12,21D06144-9648-434E-AEAA-1A91255608A7,12,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,"Brooklyn Neighborhood Office, Legal Aid Society ",Brooklyn,The Legal Aid Society,718.422.2765,Adult,"['{""address"":""111 Livingston St"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11201""}', '40.69109687573092', '-73.98955322065659', None, False]",11201,40.691144,-73.98981,2,33,9,3002555,3002660001,Brooklyn Heights-Cobble Hill                                               
13,F56A2524-30C1-48C7-BBA6-F0E6B8FBF466,13,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,St.Cecilia's Community Center ,Manhattan,"Catholic Charities Community Service, Archdiocese of N Y",212-348-0488,All Ages,"['{""address"":""125 105th Street"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10029""}', '40.79190439287778', '-73.9475075400997', None, False]",,,,,,,,,
14,C375F7A7-9568-4B03-AA94-4200D647CF00,14,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Queens Community House,Queens,The Legal Aid Society,212-577-3292 ,All Ages,"['{""address"":""108 25 62nd Drive"",""city"":""Queens"",""state"":""NEW YORK"",""zip"":""11375""}', '40.720707263029794', '-73.84628429608335', None, False]",11375,40.73591,-73.850212,6,29,745,4432108,4021590002,Forest Hills                                                               
15,DB2E5052-1EB4-47D8-A74F-E102E823A330,15,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,F.E.G.S. Brooklyn Resource Center [Program site],Brooklyn,"Federation of Employment and Guidance Services, Inc.",718-336-2836x330 ,Adult,"['{""address"":""938 Kings Highway"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11233""}', '40.60700851986621', '-73.96282101223699', None, False]",11223,40.607066,-73.962714,15,44,418,3177634,3066660112,Homecrest                                                                  
16,8A6E0727-33C3-4F5F-9AD8-034A1C27C684,16,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Citizens Advice Bureau - Immigration Assistance Center,Bronx,Citizens Advice Bureau,718- 293-0727,All Ages,"['{""address"":""2070 Grand"",""city"":""Concourse Bronx"",""state"":""NEW YORK"",""zip"":""10457""}', '40.85309059209145', '-73.90280877587541', None, False]",10457,40.853222,-73.902947,5,15,23502,2013631,2031560009,Mount Hope                                                                 
62,1AA3D2FC-06C3-4F82-9138-034680B4ED31,62,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,CONNECT,Manhattan,Safe Space,212.206.3440 ext. 237,All Ages,"['{""address"":""3 29th Street"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10001""}', '40.74552271604756', '-73.987242979944', None, False]",,,,,,,,,
17,2E9A20A0-B52E-4779-9C63-E6D1ED4AB63A,17,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,El Centro de Hospitalidad ,Staten Island,"Catholic Charities Community Service, Archdiocese of N Y",718-420-6466 646-772-0096,All Ages,"['{""address"":""1546 Castleton Avenue Staten Island"",""city"":""NEW YORK"",""state"":"""",""zip"":""10302""}', '40.63589249589933', '-74.13449607767508', None, False]",10302,40.63586,-74.134431,1,49,207,5024246,5010350014,Port Richmond                                                              
18,0611743D-A0DF-438D-B307-FFE5C74AD00A,18,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Shorefront Y                                                                                                                                                                                                                                                   ,Brooklyn,New York Legal Assistance Group (NYLAG),212.613.5000,Adult,"['{""address"":""3300 Coney Island Av"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11235""}', '40.575793969703795', '-73.95950745079742', None, False]",11235,40.575607,-73.959463,13,48,36002,3326880,3086930001,Brighton Beach                                                             
19,9E19A082-9AC6-4BDD-840C-1088E93EA257,19,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Crown Heights Community Mediation,Brooklyn,The Legal Aid Society,212-577-3292 ,All Ages,"['{""address"":""256 Kingston Avenue"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11213""}', '40.67079925857397', '-73.94209318254946', None, False]",11213,40.6708,-73.942077,8,35,339,3032463,3012570074,Crown Heights North                                                        
20,F0B1A9C5-9F51-44C3-BBB1-F910F41940E0,20,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Goodwill Industries Greater NY-NJ (Admin & Activity site),Brooklyn,Goodwill Industries of Greater New York,718.339.0937,11+,"['{""address"":""1416 Avenue"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11230""}', '40.62192951023877', '-73.96551106018723', None, False]",,,,,,,,,
21,BF65C36D-6782-4709-B314-7AD672F6C994,21,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Children's Arts & Sciences Workshops (Admin & Activity site),Manhattan,Children's Arts & Sciences Workshops,212-923-7766,11+,"['{""address"":""686 204th Street"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10034""}', '40.867820783175965', '-73.92367507747998', None, False]",,,,,,,,,
22,3FB931C4-344C-485F-A02B-2E5F673000C7,22,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Flushing Immigration Center - CUNY,Queens,Research Foundation of CUNY,718-640-9223,All Ages,"['{""address"":""39 07 Prince St"",""city"":""Queens"",""state"":""NEW YORK"",""zip"":""11354""}', '40.76862022064671', '-73.82719028070687', None, False]",11354,40.759543,-73.832255,7,20,871,4112321,4049767501,Flushing                                                                   
23,5EDDF365-C9B2-46C6-8920-2E763885FD84,23,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,Make the Road New York,Jackson Heights,Make the Road New York,718-418-7690 X 205 ,Adult,"['{""address"":""92 10 Roosevelt Avenue Jackson Heights"",""city"":""NEW YORK"",""state"":"""",""zip"":""13372""}', '40.751979000030815', '-73.88282399992767', None, False]",11372,40.748623,-73.874487,4,21,469,4038783,4015500020,Elmhurst                                                                   
24,AB364C0D-BCC2-4A2C-A8AA-5D85498F487A,24,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,New Immigrant Community Empowerment (NICE) (Admin & Activity site),Queens,New Immigrant Community Empowerment (NICE),718.205.8796,18+,"['{""address"":""37 41 77th Street"",""city"":""Queens"",""state"":""NEW YORK"",""zip"":""10302""}', '40.63083331110846', '-74.13773429869889', None, False]",11372,40.748031,-73.888838,3,25,287,4029910,4012880060,Jackson Heights                                                            
25,2231BECB-F82B-4970-B9F2-FC1B1ACBBA2B,25,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Make the Road New York (Admin & Activity site),Staten Island,Make the Road New York,718.565.8500 718.727.1222,18+,"['{""address"":""479 Port Richmond Av Staten Island"",""city"":""NEW YORK"",""state"":"""",""zip"":""10302""}', '40.63093452909704', '-74.13901464968129', None, False]",10302,40.630818,-74.139187,1,49,213,5024824,5010490005,Port Richmond                                                              
26,573B74A5-69FA-4C4B-9428-617E8A64714C,26,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Urban Justice Center at the Ali Forney Center,Manhattan,Urban Justice Center,646-602-5633,20-May,"['{""address"":""527 22nd Street"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10011""}', '40.74739972392154', '-74.00552562193494', None, False]",,,,,,,,,
27,E9486BA8-D7FE-414A-BC3B-ABF558B3CCCB,27,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Shorefront YM-YWHA                                                                                                                                                                                                                                                   ,Brooklyn,New York Legal Assistance Group (NYLAG),718-646-1444,All Ages,"['{""address"":""3300 Coney Island Av"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11235""}', '40.575793969703795', '-73.95950745079742', None, False]",11235,40.575607,-73.959463,13,48,36002,3326880,3086930001,Brighton Beach                                                             
28,A3F01E3E-3563-4AC7-8A25-D6F75CC41188,28,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Center for Battered Women,Manhattan,Sanctuary for Families,212-349-6009,All Ages,"['{""address"":""1406 Wall Street Station"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10268""}', '40.70545300025583', '-74.00695600011926', None, False]",,,,,,,,,
29,0D67C9BF-7F66-400B-B9CB-405253FB4C4D,29,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Center for Integration and Advancement of New Americans (CIANA),Queens,New Immigrant Community Empowerment (NICE),718.545.4040,All Ages,"['{""address"":""31 09 Newtown Avenue"",""city"":""Queens"",""state"":""NEW YORK"",""zip"":""11102""}', '40.77152402451418', '-73.92643545073543', None, False]",11102,40.767493,-73.920661,1,22,71,4536739,4006190020,Old Astoria                                                                
30,783FFEC8-A798-443F-A3D7-65E031E5D055,30,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Urban Justice Center at the Hetrick Martin Institute ,Manhattan,Urban Justice Center,646.602.5633,20-May,"['{""address"":""2 Astor Place"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10003""}', '40.73004972130843', '-73.99278994498403', None, False]",10003,40.730038,-73.992632,2,2,57,1080092,1005450026,West Village                                                               
31,71F980FE-7285-475B-A609-4ADC2D8BBAF7,31,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Big Brothers/Big Sisters, Inc. (Activity Site)",Bronx,"Big Brothers/Big Sisters, Inc.",212.994.7742,14-Nov,"['{""address"":""555 Bergen Avenue"",""city"":""Bronx"",""state"":""NEW YORK"",""zip"":""10455""}', '40.81594441525443', '-73.91641591148277', None, False]",10455,40.815959,-73.916354,1,17,71,2097027,2022940002,Melrose South-Mott Haven North                                             
32,81FFFCC5-9CD7-4AAB-B8AD-D3F4F4F63F86,32,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,Citizens Advice Bureau - Immigration Assistance Center,Bronx,Citizens Advice Bureau,718-365-0910,All Ages,"['{""address"":""1477 Townsend Ave"",""city"":""Bronx"",""state"":""NEW YORK"",""zip"":""10452""}', '40.841513488175195', '-73.9156620372896', None, False]",10452,40.841504,-73.915639,4,14,223,2098821,2028440021,West Concourse                                                             
33,BB6BF02E-2D21-4EA5-989A-7564E66C26CB,33,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Make the Road New York-Jackson Heights Center,Queens,Make the Road New York,718.565.8500,ESOL/Civics,"['{""address"":""71 24 Roosevelt Avenue"",""city"":""Queens"",""state"":""NEW YORK"",""zip"":""11372""}', '40.75163073936716', '-73.88361254528269', None, False]",11372,40.746551,-73.894199,4,25,265,4459321,4013030009,Elmhurst-Maspeth                                                           
34,D400F531-DC4C-4E14-9229-622D86491473,34,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Mercy Center,Bronx,New York Legal Assistance Group (NYLAG),212-613-5000,All Ages,"['{""address"":""377 145th St"",""city"":""Bronx"",""state"":""NEW YORK"",""zip"":""10454""}', '40.81385583017525', '-73.92035529273', None, False]",,,,,,,,,
35,96BE789A-50D0-4F63-8E29-AA4B28526E6C,35,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Washington Heights Ecumenical Food Pantry (WHEFP),Manhattan,"Catholic Charities Community Service, Archdiocese of N Y",212-419-3700,All Ages,"['{""address"":""4111 Broadway"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10033""}', '40.845160338750205', '-73.93878884162382', None, False]",10033,40.845128,-73.938763,12,10,263,1063501,1021420133,Washington Heights South                                                   
36,301C6B10-3AC2-4708-BA39-AA7A9337FA9B,36,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Queens Jewish Community Council,Forest Hills,New York Legal Assistance Group (NYLAG),212-613-5000,All Ages,"['{""address"":""119 45 Union Turnpike Forest Hills"",""city"":""NEW YORK"",""state"":"""",""zip"":""11375""}', '40.720707263029794', '-73.84628429608335', None, False]",11375,40.713909,-73.832351,6,29,76902,4312087,4033477501,Forest Hills                                                               
37,2FEF3196-0470-4472-8DBC-EC83E6A86C14,37,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Southside Community Mission,Brooklyn,"Southside Community Mission, Inc.",718.782.8181 or 718.387.6052 ,ESOL/Civics,"['{""address"":""250 Hooper Street"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11211""}', '40.70581785170525', '-73.9556640768342', None, False]",11211,40.705898,-73.955611,1,33,529,3379706,3022070002,Williamsburg                                                               
38,CA8A694E-7159-435B-8574-86732005F7F5,38,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Family Justice Center,Brooklyn,Sanctuary for Families,212-349-6009,All Ages,"['{""address"":""350 Jay Street"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11201""}', '40.69351957615995', '-73.98726442001791', None, False]",11201,40.693524,-73.987249,2,33,11,3000259,3001407501,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
39,16CB6B1C-9CD2-4A67-8D11-5EFBB6D55C70,39,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,LaGuardia Community College Immigration Center - CUNY,Queens,Research Foundation of CUNY,718-482-5139,All Ages,"['{""address"":""166 Queens"",""city"":""NEW YORK"",""state"":"""",""zip"":""11101""}', '40.74570244980828', '-73.93866902925225', None, False]",,,,,,,,,
40,06A4BDAA-6F38-4630-9B5E-5078875DD7F2,40,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,The Child Center of NY ? WIA Office,Jamaica,Safe Space,212.206.3440 ext. 237,All Ages,"['{""address"":""163 18 Jamaica Av"",""city"":""Jamaica"",""state"":""NEW YORK"",""zip"":""11432""}', '40.71311535449007', '-73.79282099978928', None, False]",11432,40.704799,-73.796524,12,27,44601,4216197,4101510007,Jamaica                                                                    
41,71A6E4D4-A454-43C2-A6DB-093E993FA3ED,41,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Legal Aid - Juvenile Rights Division,Manhattan,The Legal Aid Society,212.577.3328,20-May,"['{""address"":""199 Water Street"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10038""}', '40.70708573646016', '-74.00463169395886', None, False]",10038,40.70727,-74.004314,1,1,1502,1001162,1000747501,Battery Park City-Lower Manhattan                                          
42,F491F547-79C8-4ECB-9AF0-923E8AF4D666,42,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Jackson Heights Program,Queens,"Queens Community House, Inc.",718.592.5757 or 718.898.7461,Adult,"['{""address"":""74 09 37th Avenue (Jackson Heights"",""city"":""Queens"",""state"":""NEW YORK"",""zip"":""11372""}', '40.75163073936716', '-73.88361254528269', None, False]",11372,40.748992,-73.891561,3,25,289,4029563,4012740035,Jackson Heights                                                            
43,903AA380-710B-4B27-8539-1C43FC5D86D9,43,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Cabrini Immigrant Services (Admin & Activity site),Manhattan,Cabrini Center for Nursing & Rehabilitation,212.791.4590,18+,"['{""address"":""139 Henry Street"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10002""}', '40.713327031343454', '-73.99078213470762', None, False]",10002,40.713339,-73.990755,3,1,6,1003565,1002830016,Lower East Side                                                            
44,556EE83F-0E18-4B90-B73D-E36F3F0300A7,44,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,COJO Flatbush,Brooklyn,Council of Jewish Organizations of Flatbush (COJO),718.377.2900,Adult,"['{""address"":""1550 Coney Island Avenue"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11230""}', '40.61969757437525', '-73.96431415429318', None, False]",11230,40.619517,-73.964188,12,44,454,3171988,3065460011,Ocean Parkway South                                                        
45,B27E841F-E870-4235-B9C9-EB80FF6991BC,45,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,CAMBA,Brooklyn,"CAMBA, Inc.",718-940-6311 ,All Ages,"['{""address"":""2211 Church Av"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11226""}', '40.65044686678422', '-73.95854532388019', None, False]",11226,40.650424,-73.958175,14,40,79602,3116881,3050890071,Prospect Lefferts Gardens-Wingate                                          
46,5018870B-37B1-4485-ACF2-FDA0C2343EF0,46,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,The Door,Manhattan,The Door - A Center of Alternatives,212-941-9090 ext. 3280,20-May,"['{""address"":""121 6th Avenue"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10013""}', '40.72398399739069', '-74.00464968039944', None, False]",10013,40.723903,-74.00469,2,3,37,1083493,1004777501,SoHo-TriBeCa-Civic Center-Little Italy                                     
47,2FA235A8-4C01-4234-B181-01504B3BB2A1,47,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,The Lower Manhattan Neighborhood Office,Manhattan,The Legal Aid Society,212-577-3292 ,All Ages,"['{""address"":""199 Water Street"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10038""}', '40.70708573646016', '-74.00463169395886', None, False]",10038,40.70727,-74.004314,1,1,1502,1001162,1000747501,Battery Park City-Lower Manhattan                                          
48,644EDA39-A2ED-4C62-8057-33DB55B8E10C,48,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Chinese Consolidated Benevolent Asociation of New York,Manhattan,Northern Manhattan   Improvement Corporation,212-822-8319,All Ages,"['{""address"":""62 Mott St"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10013""}', '40.71607633471377', '-73.9981586658295', None, False]",10013,40.716051,-73.998222,3,1,29,1002403,1002010004,Chinatown                                                                  
49,9A2E346B-C0CA-4539-B252-5B830C64C6CB,49,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Queens Family Justice Center,Kew Gardens,Sanctuary for Families,212-349-6009 ,All Ages,"['{""address"":""126 02 82nd Ave Kew Gardens"",""city"":""NEW YORK"",""state"":"""",""zip"":""11415""}', '40.708286075142325', '-73.82855612156771', None, False]",11415,40.713732,-73.826122,9,29,216,4458616,4096530001,Kew Gardens                                                                
50,C502F4EB-B6EA-4773-819E-84231DF41552,50,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services  - Transition Center,Queens,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,"['{""address"":""629 Far"",""city"":""Queens"",""state"":""NEW YORK"",""zip"":""11691""}', '40.600614338480966', '-73.76256777468302', None, False]",,,,,,,,,
51,CF1320C8-BE7A-4FB2-BD07-3885F9BC0749,51,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrats,"Goodwill Industries of Greater New York & Northern NJ, Refugee and Immigrant Services (Program Site 1)",Brooklyn,Goodwill Industries of Greater New York,718- 339-0939 ,Adult,"['{""address"":""1416 Avenue"",""city"":""M Brooklyn"",""state"":""NEW YORK"",""zip"":""11230""}', '40.61789996472653', '-73.96077504128672', None, False]",11230,40.617962,-73.960396,14,48,768,3180877,3067430006,Midwood                                                                    
52,4ACA51F0-0841-432B-BF14-78AFFCF7A773,52,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Kensington Self-Help ,Brooklyn,New York Legal Assistance Group (NYLAG),212-613-5000,All Ages,"['{""address"":""419 Church Ave"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11218""}', '40.64409707953028', '-73.97640972645803', None, False]",11218,40.644278,-73.975947,12,39,496,3124649,3053370027,Kensington-Ocean Parkway                                                   
53,840A802F-A04F-4011-BB47-8E048763C244,53,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,"Tolentine -Zeiser Community Life Center/ St, Rita",Bronx,"Catholic Charities Community Service, Archdiocese of N Y",718-365-4360 ,Adult,"['{""address"":""2342 Andrews Av (near Fordham Rd"",""city"":""Bronx"",""state"":""NEW YORK"",""zip"":""10468""}', '40.869693003729196', '-73.89892699248668', None, False]",10468,40.862324,-73.906553,7,14,255,2094685,2032180035,Kingsbridge Heights                                                        
54,AE149A3E-3BDB-4848-8755-3BC90F2D4A8D,54,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,United Communities Centers ,Brooklyn,United Communities Centers,718-649-7979,All Ages,"['{""address"":""613 New Lots Ave"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11207""}', '40.66472649825768', '-73.88659110359023', None, False]",11207,40.664728,-73.886561,5,42,1124,3090717,3040890025,East New York                                                              
55,FBEF388C-488F-461B-9BAD-A2B3F594541D,55,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,JFK High School - Children's Arts & Science,Bronx,"Children's Arts & Science Workshops, Inc.",212-923-7766,All Ages,"['{""address"":""99 Terrace View Avenue"",""city"":""Bronx"",""state"":""NEW YORK"",""zip"":""10463""}', '40.877210772673564', '-73.91213621128965', None, False]",10463,40.877105,-73.912256,8,10,309,1064532,1022150080,Marble Hill-Inwood                                                         
