address,agency,allowable_building_to_floor_area,assess_land,bin,bldg_depth,bldg_front,block,boro,bsmt_code,census_block,census_tract,commercial_floor_area,community_district,condominium_number,contact,coordinates,council_district,current_uses,date_created,e_designation_number,edc___occupied,exempt_land,exempt_tot,factory_floor_area,fire_comp,garage_floor_area,govt_clean_up_program,health_area,health_ctr,his_dist,industrial_business_zone,irr_lot_code,land_use_category,landmark,latitude,longitude,lot,lot_depth,lot_front,lot_type_code,major_use,map_atlas,nta,num_floors,number_of_easements,number_structures,office_floor_area,open_petroleum_spill,other_floor_area,overlay_1,overlay_2,parcel_name,pluto_version,police_prct,potential_urban_ag,proximity_code,ratio_building_to_floor_area,residential_and_non_residential_units,residential_floor_area,residential_units,retail_floor_area,school_dist,sp_dist_1,sp_dist_2,storage_floor_area,structure_completed,total_area,total_gross_area_structures,year_alter_1,year_alter_2,zip_code,zone_dist_1,zone_dist_2
42 BROADWAY,"DCA, ELECT, HLTH",10,8370000,1000812,197.58,116.25,22,1,5,1002,9,389927,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980753/0196491,1,"AGCY EXECUTVE OFFICE, AGCY OFFICE",2013-12-11T00:00:00.000,,0,0,0,0,L015,0,,,,,,Y,5,,40.70627,-74.012909,20,197.58,116.25,5,O3,4,Battery Park City-Lower Manhattan                                          ,21,0,1,383317,Yes,0,,,OFFICE BLDG,13v1,1,,0,18.14,0,0,0,6610,2,LM,,0,1904,21490,389927,1970,0,10004,C5-5,
EAST 8 STREET,PARKS,4,181492,,0,0,377,1,5,1001,26.02,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0990379/0203132,2,COMMUNITY GARDEN,2013-12-11T00:00:00.000,,0,0,0,0,L011,0,,,,,,N,11,,,,14,97.5,24,5,V1,4,,0,0,0,0,,0,,,FIREMEN'S MEMORIAL GARDEN,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,2340,0,0,0,10009,R8B,
50 BROADWAY,EDUC,10,5985000,1000813,175,81.75,22,1,2,1002,9,300676,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980798/0196579,1,PUBLIC SCHOOL,2013-12-11T00:00:00.000,,0,0,772200,0,L015,0,,,,,,Y,5,,40.706449,-74.012761,24,175,81.75,5,O4,4,Battery Park City-Lower Manhattan                                          ,38,0,1,279778,Yes,0,,,,13v1,1,,0,22.57,1,0,0,20398,2,LM,,500,1927,13323,300676,1980,2003,10004,C5-5,
60 BROAD STREET,"DHS, PROB, TLC",10,20160000,1000817,245.83,214.08,24,1,2,1001,9,974958,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980909/0196245,1,"OFFICE, AGCY EXECUTVE OFFICE, BOROUGH OFFICE",2013-12-11T00:00:00.000,,0,0,0,0,L015,0,,,,,,Y,5,,40.705351,-74.011502,1,245.92,214.08,3,O3,4,Battery Park City-Lower Manhattan                                          ,38,0,1,957364,,0,,,,13v1,1,,0,21.78,0,0,0,17594,2,LM,,0,1961,44757,974958,0,0,10004,C5-5,
BEAVER STREET,PARKS,0,871200,,0,0,28,1,5,,7,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,PARK,2013-12-11T00:00:00.000,,0,871200,871200,0,L015,0,,,,,,Y,9,,,,28,39.75,145.75,1,Q1,4,,0,0,0,0,,0,,,HANOVER SQUARE PARK,13v1,1,,0,0,0,0,0,0,2,,,0,0,5075,0,0,0,0,PARK,
75 PEARL STREET,DOT,10,1575000,1000000,0,0,29,1,5,1011,9,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981321/0195757,1,ROAD/HIGHWAY,2013-12-11T00:00:00.000,,0,1575000,1575000,0,L015,0,,,,Stone Street,,Y,9,,40.703921,-74.010348,19,92.39,22.95,4,Q9,4,Battery Park City-Lower Manhattan                                          ,0,0,0,0,,0,,,COENTIES ALLEY,13v1,1,,0,0,0,0,0,0,2,LM,,0,0,2048,0,0,0,10004,C5-5,
75 BROAD STREET,EDUC,10,11745000,1000849,112.17,230.33,29,1,2,1005,9,661283,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981144/0196017,1,ACADEMIC HIGH SCHOOL,2013-12-11T00:00:00.000,,0,0,2664000,0,L015,0,,,,,,Y,5,,40.704487,-74.011556,70,112.17,230.33,3,O3,4,Battery Park City-Lower Manhattan                                          ,35,0,1,646657,,0,,,,13v1,1,,0,25.37,1,0,0,14626,2,LM,,0,1928,26068,661283,1929,2004,10004,C5-5,
44 BEAVER STREET,SANIT,10,2812500,1000850,72.42,98.75,29,1,2,1005,9,97596,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981273/0196103,1,"AGCY OFFICE, TRANSL HSG - ADULT",2013-12-11T00:00:00.000,,0,0,0,0,L015,0,,,,,,Y,5,,40.705079,-74.010766,73,72.42,98.75,5,O3,4,Battery Park City-Lower Manhattan                                          ,12,0,1,97596,,0,,,DEPARTMENT OF SANITATION,13v1,1,,0,10.83,0,0,0,0,2,LM,,0,1920,9010,97596,1984,0,10004,C5-5,
100 OLD SLIP,CULT,10,1264500,1000866,30,162,34,1,2,1033,7,19568,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981932/0195646,1,MUSEUM/GALLERY,2013-12-11T00:00:00.000,,0,1264500,1824750,0,L015,0,,,,,,Y,8,FIRST PRECINCT POLICE STATION,40.703279,-74.008039,37,33,360,1,P7,4,Battery Park City-Lower Manhattan                                          ,5,0,1,16568,,0,,,NYC POLICE MUSEUM,13v1,1,,1,1.72,1,0,0,3000,2,LM,,0,1920,11346,19568,1986,0,10005,C6-9,
77 FRONT STREET,FIRE,10,29565000,1000867,184,190,35,1,2,1032,7,973587,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982119/0195698,1,FIREHOUSE,2013-12-11T00:00:00.000,,0,0,18724950,0,L015,29785,,,,,,Y,5,,40.70388,-74.00822,1,203.33,216,1,O4,4,Battery Park City-Lower Manhattan                                          ,36,0,1,930363,Yes,13439,,,"ENG 4, LAD 15",13v1,1,,1,23.08,6,0,0,0,2,LM,,0,1987,42176,973587,2008,0,10005,C6-9,
PIER 9,DSBS,10,9470250,,604.83,0,36,1,5,,7,320800,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,"WATERFRONT PROPERTY, NO USE, NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,9470250,9965250,0,,0,,,,,,N,7,,,,12,604.83,534,9,Y7,4,,0,0,1,0,,320800,,,FORMER PIER 9,13v1,1,,0,1,0,0,0,0,2,LM,,0,1900,320800,320800,0,0,10005,C4-6,
PIER11 SOUTH STREET,DSBS,10,6030450,1087760,34,14,36,1,0,1029,7,199625,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982603/0195397,1,"FERRY TERMINAL, WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, SHORT-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,6030450,6810300,0,L015,0,,,,,,N,7,,40.703587,-74.006597,18,547.17,328.42,9,T2,4,Battery Park City-Lower Manhattan                                          ,1,0,1,0,,199625,,,PIER 11,13v1,1,,1,1,1,0,0,0,2,LM,,0,1900,199625,199625,1989,0,0,C4-6,
13 SOUTH STREET,DSBS,10,6457950,1000005,24,98,36,1,0,1027,7,202275,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982858/0195619,1,"WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,6457950,6907950,0,E004,0,,,,,,Y,7,,40.701761,-74.01131,25,607,352.25,2,T2,4,Battery Park City-Lower Manhattan                                          ,1,0,1,0,,202275,,,PIER 13,13v1,1,,1,1,2,0,0,0,2,LM,,0,1982,202275,202275,0,0,10005,C4-6,
PIER14 SOUTH STREET,DSBS,10,4769550,1087761,488,50,36,1,0,1027,7,169425,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983112/0195801,1,"WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,4769550,5632650,0,E004,0,,,,South Street Seaport,,Y,7,,40.7046,-74.005143,30,606,273.58,2,T2,4,Battery Park City-Lower Manhattan                                          ,1,0,1,0,,169425,,,PIER 14,13v1,1,,1,1,1,0,0,0,2,LM,,0,1900,169425,169425,0,0,10005,C4-6,
80 MAIDEN LANE,"DOI, EDUC",10,9000000,1001015,131,143,42,1,2,1004,7,527605,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982082/0196896,1,"AGCY EXECUTVE OFFICE, OFC LEASED BY EDUC",2013-12-11T00:00:00.000,,0,0,0,0,E004,0,,,,,,Y,5,,40.707116,-74.007329,31,103.75,143.92,4,O3,4,Battery Park City-Lower Manhattan                                          ,25,0,1,510895,,0,,,DOI HEADQUARTERS,13v1,1,,3,25.51,52,0,0,16710,2,LM,,0,1912,20684,527605,0,0,10005,C5-5,
MAJ WM DEEGAN BLVD,PARKS,0,89100,,0,0,2539,2,5,,63,0,204,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,17,PARK,2013-12-11T00:00:00.000,,0,89100,92700,0,,0,,,,,,Y,9,,,,181,136,304,3,Q1,1,,0,0,0,0,,0,,,MACOMBS DAM PARK,13v1,44,,0,0,0,0,0,0,,,,0,0,19550,0,0,0,0,PARK,
88 TRINITY PLACE,EDUC,10,1539000,1001035,73,78,51,1,2,2001,13,83362,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980794/0197573,1,ACADEMIC HIGH SCHOOL,2013-12-11T00:00:00.000,,0,0,0,0,E010,0,,,,,,Y,8,,40.708686,-74.012361,15,74.42,78.75,3,W1,4,Battery Park City-Lower Manhattan                                          ,15,0,1,83362,,0,,,,13v1,1,,3,14.17,2,0,0,0,2,LM,,0,1973,5882,83362,0,0,10006,C5-5,
96 TRINITY PLACE,EDUC,10,4999500,1001037,170,99,52,1,2,1010,13,102591,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980831/0197682,1,ACADEMIC HIGH SCHOOL,2013-12-11T00:00:00.000,,0,0,0,0,E010,0,,,,,,Y,8,,40.70904,-74.012127,1,127.5,102.42,3,W6,4,Battery Park City-Lower Manhattan                                          ,10,0,1,102591,,0,,,,13v1,1,,3,9.34,2,0,0,0,2,LM,,0,1958,10989,102591,1961,0,10006,C5-5,
EAST 8 STREET,PARKS,4,299661,,0,0,377,1,5,1001,26.02,0,103,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0990470/0203081,2,COMMUNITY GARDEN,2013-12-11T00:00:00.000,,0,0,0,0,L011,0,,,,,,N,11,,,,18,97.5,39.58,5,V9,4,,0,0,0,0,,0,,,GREEN OASIS/GILBERT'S GARDEN,13v1,9,Existing GreenThumb Garden,0,0,0,0,0,0,1,,,0,0,3859,0,0,0,10009,R8B,
141 GREENWICH STREET,FIRE,10,1060200,1075700,40,112,52,1,0,1001,13,8008,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980757/0197894,1,FIREHOUSE,2013-12-11T00:00:00.000,,0,1060200,1487700,0,E010,0,,,,,,Y,8,,40.709773,-74.012801,22,44,114.67,3,Y1,4,Battery Park City-Lower Manhattan                                          ,3,0,1,0,Yes,8008,,,"ENG 10, LAD 10",13v1,1,,1,1.83,1,0,0,0,2,LM,,0,1980,4381,8008,0,0,10006,C5-5,
LIBERTY PLACE,NYCTA,10,13950,,0,0,64,1,5,,15.02,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,OTHER TRANS FACILITY,2013-12-11T00:00:00.000,,0,13950,13950,0,E004,0,,,,,,Y,11,,,,106,19.27,3.5,5,V1,4,,0,0,0,0,,0,,,VENTILATION SHAFT,13v1,1,Not Suitable 2 - Site is smaller than 2500 square feet,0,0,0,0,0,0,2,LM,,0,0,66,0,0,0,0,C5-5,
66 JOHN STREET,"FINAN, ACS, DOITT",10,31185000,1079043,180,218.25,67,1,5,1006,15.02,1073000,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982039/0197441,1,"OFFICE, AGCY OFFICE, BOROUGH OFFICE, FIELD OFFICE-PUBLIC",2013-12-11T00:00:00.000,,0,0,0,0,E004,0,,,,,,Y,5,,40.708933,-74.007614,1,261.33,286.33,3,O3,4,Battery Park City-Lower Manhattan                                          ,44,0,1,1049755,,0,,,OFFICE BLDG,13v1,1,,0,18.07,1,0,0,23245,2,LM,,0,1965,59391,1073000,1965,0,10038,C5-5,
83 MAIDEN LANE,"BLDGS, DOI",10,2137500,1001111,132.58,106.08,68,1,2,1010,15.02,155450,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982213/0197054,1,AGCY OFFICE,2013-12-11T00:00:00.000,,0,1090125,6196272,0,E004,0,,,,,,Y,5,,40.707443,-74.007607,7,132.58,106.08,3,O2,4,Battery Park City-Lower Manhattan                                          ,13,0,1,137500,,0,,,,13v1,1,,0,14.27,2,0,0,17950,2,LM,,0,1958,10894,155450,2005,2010,10038,C5-5,
180 WATER STREET,HRA,10,12735000,1001134,104,173,70,1,2,2005,15.02,453857,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0982710/0196863,1,AGCY EXECUTVE OFFICE,2013-12-11T00:00:00.000,,0,0,0,0,E004,0,,,,,,Y,5,,40.706787,-74.005114,32,127.58,173.42,3,O4,4,Battery Park City-Lower Manhattan                                          ,24,0,1,453857,,0,,,HRA HEADQUARTERS,13v1,1,,1,19.27,5,0,0,0,2,LM,,0,1971,23555,453857,0,0,10038,C5-5,
PIER-15 SOUTH STREET,DSBS,10,3726000,,540.75,0,73,1,5,2014,15.02,164325,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983345/0195977,1,"WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,3726000,4399200,0,E004,0,,,,South Street Seaport,,Y,7,,,,2,597.75,273.33,2,T2,4,,1,0,1,0,,164325,,,PIER 15,13v1,1,,0,1,0,0,0,0,2,LM,,0,1900,164325,164325,0,0,10038,C4-6,
PIER-16 SOUTH STREET,DSBS,10,3235500,,557.67,0,73,1,5,2014,15.02,35691,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983550/0196140,1,"WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,3235500,3952350,0,E006,0,,,,South Street Seaport,,Y,7,,,,8,597.67,238,2,T2,4,,1,0,3,0,,35691,,,PIER 16,13v1,1,,0,0.24,0,0,0,0,2,LM,,0,1900,146025,35691,0,0,10038,C4-6,
95 SOUTH STREET,DSBS,10,9360000,1001158,535,242,73,1,0,3008,15.01,331550,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983819/0196282,1,"WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,9360000,31947750,0,E006,0,,,,South Street Seaport,,Y,5,,40.70631,-74.003041,10,597.5,114,2,K3,4,Battery Park City-Lower Manhattan                                          ,3,0,3,0,,0,,,PIER 17 / SOUTH STREET SEAPORT,13v1,1,,1,1.59,17,0,0,331550,2,LM,,0,1985,208475,331550,0,0,10038,C4-6,
95 MARGINAL STREET,DSBS,10,1822950,1001159,105,208,73,1,0,3008,15.01,21475,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0983671/0196514,1,"NO USE-NON RES STRC, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,1822950,2025450,0,E006,0,,,,South Street Seaport,,N,7,,40.70631,-74.003041,11,105,208,2,Y7,4,Battery Park City-Lower Manhattan                                          ,4,0,1,0,,0,,,FORMER FULTON FISH MARKET BLDG,13v1,1,,1,1,11,0,0,21475,2,LM,,0,1900,21475,21475,0,0,10038,C4-6,
SOUTH STREET,DSBS,10,1263600,,140,166,73,1,5,,,23350,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,"WATERFRONT PROPERTY, NO USE-NON RES STRC, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,1263600,1817100,0,,0,,,,,,N,7,,,,14,140,166,5,Y7,4,,2,0,1,0,,23350,,,FORMER FULTON FIS MARKET BLDG,13v1,1,,0,1,0,0,0,0,2,LM,,0,1900,23350,23350,0,0,10038,C4-6,
PIER 19,DSBS,10,8739900,1000000,0,0,73,1,5,,,30081,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,8739900,8739900,0,,0,,,,,,Y,7,,,,17,560,660,5,T2,4,                                                                           ,0,0,0,0,,30081,,,"FORMERLY PIERS 19, 20 & 21",13v1,1,,0,7.00E-02,0,0,0,0,2,LM,,0,0,404450,30081,0,0,10038,C4-6,
MARGINAL STREET,DSBS,10,731700,,0,0,73,1,5,,,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,731700,731700,0,,0,,,,,,N,11,,,,28,52.75,183.5,5,V1,4,,0,0,0,0,,0,,,L.U.W. FOOT OF DOVER STREET,13v1,1,,0,0,0,0,0,0,2,LM,,0,0,9650,0,0,0,10038,C4-6,
MARGINAL STREET,DSBS,10,2903400,,258,90,73,1,5,,,23240,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,2903400,3119400,0,,0,,,,,,Y,7,,,,29,500,90,5,Y7,4,,1,0,1,0,,23240,,,L.U.W. UNDER BKLYN BRIDGE,13v1,1,,0,0.16,1,0,0,0,2,LM,,0,1900,147775,23240,0,0,10038,C4-6,C2-8
