action,boro,building,camis,critical_flag,cuisine_description,dba,grade,grade_date,inspection_date,inspection_type,phone,record_date,score,street,violation_code,violation_description,zipcode
Violations were cited in the following area(s).,BROOKLYN,1451,41713405,Critical,African,CAFE RUE DIX,,,2017-09-29T00:00:00.000,Cycle Inspection / Initial Inspection,9292342543,2018-03-26T06:00:56.000,26,BEDFORD AVENUE,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11216
Violations were cited in the following area(s).,MANHATTAN,945,41389304,Not Critical,Pakistani,JOHAL DELI,,,2017-05-09T00:00:00.000,Cycle Inspection / Initial Inspection,2122222636,2018-03-26T06:00:56.000,24,COLUMBUS AVE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10025
Violations were cited in the following area(s).,MANHATTAN,109,41439313,Critical,Mexican,LOS FELIZ,,,2015-05-01T00:00:00.000,Cycle Inspection / Initial Inspection,2122288383,2018-03-26T06:00:56.000,23,LUDLOW STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10002
Violations were cited in the following area(s).,BROOKLYN,1347,50053359,Critical,Caribbean,BAR DU BOULEVARD RESTAURANT,,,2018-02-01T00:00:00.000,Cycle Inspection / Initial Inspection,3479842342,2018-03-26T06:00:56.000,22,FLATBUSH AVE,04M,Live roaches present in facility's food and/or non-food areas.,11210
Violations were cited in the following area(s).,QUEENS,5107,50014213,Not Applicable,American,SUGARDADDY'S,,,2018-01-25T00:00:00.000,Smoke-Free Air Act / Initial Inspection,7187069600,2018-03-26T06:00:56.000,,27TH ST,15F,,11101
Violations were cited in the following area(s).,QUEENS,3445,50065644,Critical,Chinese,NEW GRAND BUFFET,,,2018-03-08T00:00:00.000,Cycle Inspection / Initial Inspection,7182788889,2018-03-26T06:00:56.000,17,48TH ST,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,11101
Violations were cited in the following area(s).,MANHATTAN,150,50034784,Critical,Chinese,MANTING RESTAURANT,,,2017-12-06T00:00:00.000,Cycle Inspection / Initial Inspection,6468325866,2018-03-26T06:00:56.000,25,W 49TH ST,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10019
Violations were cited in the following area(s).,MANHATTAN,1695,41142418,Critical,French,CAFE D'ALSACE,A,2016-11-10T00:00:00.000,2016-11-10T00:00:00.000,Cycle Inspection / Re-inspection,2127225133,2018-03-26T06:00:56.000,9,2 AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10128
Violations were cited in the following area(s).,BROOKLYN,1328,41640893,Not Critical,Japanese,OSAKA SUSHI,A,2015-06-01T00:00:00.000,2015-06-01T00:00:00.000,Cycle Inspection / Initial Inspection,7187585888,2018-03-26T06:00:56.000,13,SHEEPSHEAD BAY ROAD,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",11235
Violations were cited in the following area(s).,MANHATTAN,2284,41592474,Critical,Soups & Sandwiches,HALE & HEARTY SOUP,A,2017-12-12T00:00:00.000,2017-12-12T00:00:00.000,Cycle Inspection / Initial Inspection,2127214900,2018-03-26T06:00:56.000,10,BROADWAY,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10024
Violations were cited in the following area(s).,STATEN ISLAND,89,41662314,Critical,Pizza,JUSTINOS PIZZERIA,B,2018-01-10T00:00:00.000,2018-01-10T00:00:00.000,Cycle Inspection / Re-inspection,7186682020,2018-03-26T06:00:56.000,22,GUYON AVENUE,03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",10306
Violations were cited in the following area(s).,MANHATTAN,119,40534155,Not Critical,American,ODESSA,,,2016-12-07T00:00:00.000,Cycle Inspection / Initial Inspection,2122531470,2018-03-26T06:00:56.000,38,AVENUE A,10H,Proper sanitization not provided for utensil ware washing operation.,10009
Violations were cited in the following area(s).,BROOKLYN,234,50004709,Critical,American,GUACUCO HOT DOGS,,,2015-07-08T00:00:00.000,Cycle Inspection / Initial Inspection,7188213291,2018-03-26T06:00:56.000,9,STARR STREET,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",11237
Violations were cited in the following area(s).,MANHATTAN,2492,41472510,Critical,Caribbean,LITTLE OCHIE JAMAICAN CUISINE,,,2017-06-12T00:00:00.000,Cycle Inspection / Initial Inspection,2122346300,2018-03-26T06:00:56.000,16,7 AVENUE,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,10030
Violations were cited in the following area(s).,MANHATTAN,125,41711133,Not Critical,Japanese,KAJITSU,,,2014-02-25T00:00:00.000,Administrative Miscellaneous / Initial Inspection,2122284873,2018-03-26T06:00:56.000,,EAST   39 STREET,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",10016
Violations were cited in the following area(s).,BRONX,3463,50017778,Critical,"Juice, Smoothies, Fruit Salads",JUICES FOR LIFE,A,2017-07-03T00:00:00.000,2017-07-03T00:00:00.000,Cycle Inspection / Re-inspection,3472819060,2018-03-26T06:00:56.000,12,E TREMONT AVE,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10465
Violations were cited in the following area(s).,MANHATTAN,548,50073342,Not Critical,Italian,TRE GIOVANI,Not Yet Graded,,2018-02-22T00:00:00.000,Pre-permit (Operational) / Initial Inspection,2124757420,2018-03-26T06:00:56.000,35,LAGUARDIA PL,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,10012
Violations were cited in the following area(s).,QUEENS,13620,50009405,Critical,Chinese,YOZ SHANGHAI (BOOTH 20),A,2014-12-09T00:00:00.000,2014-12-09T00:00:00.000,Cycle Inspection / Re-inspection,7183218525,2018-03-26T06:00:56.000,12,ROOSEVELT AVE,02B,Hot food item not held at or above 140Âº F.,11354
Violations were cited in the following area(s).,QUEENS,8102,41562311,Critical,Pizza/Italian,ENZO'S PIZZA,,,2016-04-08T00:00:00.000,Cycle Inspection / Initial Inspection,7182960880,2018-03-26T06:00:56.000,23,ROCKAWAY BOULEVARD,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,11416
Violations were cited in the following area(s).,MANHATTAN,261,41716286,Critical,Steak,MARK JOSEPH STEAKHOUSE,A,2016-04-20T00:00:00.000,2016-04-20T00:00:00.000,Cycle Inspection / Initial Inspection,2122770020,2018-03-26T06:00:56.000,13,WATER STREET,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10038
Violations were cited in the following area(s).,QUEENS,11002,41302692,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",ARMANDO'S POLLO RICO RESTAURANT,,,2015-11-13T00:00:00.000,Cycle Inspection / Initial Inspection,7184418441,2018-03-26T06:00:56.000,35,JAMAICA AVENUE,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,11418
Violations were cited in the following area(s).,MANHATTAN,342,41472216,Critical,Sandwiches/Salads/Mixed Buffet,PRET A MANGER,A,2017-02-17T00:00:00.000,2017-02-17T00:00:00.000,Cycle Inspection / Initial Inspection,2125647579,2018-03-26T06:00:56.000,12,7 AVENUE,02B,Hot food item not held at or above 140Âº F.,10001
Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,MANHATTAN,111,41432865,Critical,Japanese,SUSHI HANA,,,2015-08-18T00:00:00.000,Cycle Inspection / Initial Inspection,2123889688,2018-03-26T06:00:56.000,47,RIVINGTON STREET,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10002
Violations were cited in the following area(s).,QUEENS,9912,40884503,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",EL CUENCANITO,A,2017-03-01T00:00:00.000,2017-03-01T00:00:00.000,Cycle Inspection / Re-inspection,7182711721,2018-03-26T06:00:56.000,9,ALSTYNE AVE,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",11368
Violations were cited in the following area(s).,QUEENS,8422,50011224,Critical,Chinese,SAW SHACK,,,2015-07-11T00:00:00.000,Cycle Inspection / Initial Inspection,7188982768,2018-03-26T06:00:56.000,51,37TH AVE,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",11372
Violations were cited in the following area(s).,MANHATTAN,0,41560849,Not Critical,American,CIRCLE LINE MANHATTAN,A,2016-06-07T00:00:00.000,2016-06-07T00:00:00.000,Cycle Inspection / Initial Inspection,2126308882,2018-03-26T06:00:56.000,4,WEST 42 STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10036
Violations were cited in the following area(s).,BROOKLYN,747,40604442,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",LA LECHONERA RESTAURANT,,,2016-08-08T00:00:00.000,Cycle Inspection / Initial Inspection,7182726038,2018-03-26T06:00:56.000,20,NEW LOTS AVE,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11207
Violations were cited in the following area(s).,BROOKLYN,723,41530741,Critical,Thai,NATIONAL,,,2015-11-10T00:00:00.000,Cycle Inspection / Initial Inspection,7185223510,2018-03-26T06:00:56.000,14,FULTON STREET,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11217
Violations were cited in the following area(s).,MANHATTAN,2,41256599,Critical,Italian,HARRY'S ITALIAN,,,2016-07-15T00:00:00.000,Cycle Inspection / Initial Inspection,2127470797,2018-03-26T06:00:56.000,21,GOLD STREET,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,10038
Violations were cited in the following area(s).,QUEENS,12615,41218452,Not Critical,Caribbean,CARIFESTA RESTAURANT,A,2017-01-26T00:00:00.000,2017-01-26T00:00:00.000,Cycle Inspection / Initial Inspection,7183222210,2018-03-26T06:00:56.000,10,LIBERTY AVENUE,09C,Food contact surface not properly maintained.,11419
Violations were cited in the following area(s).,MANHATTAN,155,50015204,Critical,American,HOOTERS,B,2017-05-24T00:00:00.000,2017-05-24T00:00:00.000,Cycle Inspection / Re-inspection,2126959580,2018-03-26T06:00:56.000,17,W 33RD ST,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10001
Violations were cited in the following area(s).,MANHATTAN,134,41128554,Critical,Italian,LA NONNA,,,2016-04-14T00:00:00.000,Cycle Inspection / Initial Inspection,2123346200,2018-03-26T06:00:56.000,26,MULBERRY STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10013
Violations were cited in the following area(s).,BROOKLYN,1250,50018061,Critical,Caribbean,TROPICAL PARADISE RESTAURANT & BAKERY,,,2017-12-19T00:00:00.000,Cycle Inspection / Initial Inspection,3472183268,2018-03-26T06:00:56.000,21,UTICA AVE,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",11203
Violations were cited in the following area(s).,BRONX,8486,50054734,Critical,Chinese,CITY ISLAND CHINESE RESTAURANT,,,2017-08-14T00:00:00.000,Cycle Inspection / Initial Inspection,7188853775,2018-03-26T06:00:56.000,28,CITY ISLAND AVE,02B,Hot food item not held at or above 140Âº F.,10464
Violations were cited in the following area(s).,MANHATTAN,15,50063550,Critical,American,THE CAMPBELL,,,2017-08-01T00:00:00.000,Pre-permit (Operational) / Initial Inspection,2122971781,2018-03-26T06:00:56.000,18,VANDERBILT AVE,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10017
Violations were cited in the following area(s).,QUEENS,7126,50055312,Critical,Asian,EAST 21 FOREVER,C,2017-11-09T00:00:00.000,2017-11-09T00:00:00.000,Cycle Inspection / Re-inspection,9177022225,2018-03-26T06:00:56.000,40,ROOSEVELT AVE,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11372
Violations were cited in the following area(s).,BROOKLYN,3821,50058475,Critical,Chinese,YI MIN RESTAURANT,,,2017-01-17T00:00:00.000,Pre-permit (Operational) / Initial Inspection,7186336723,2018-03-26T06:00:56.000,22,FORT HAMILTON PKWY,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11218
Violations were cited in the following area(s).,MANHATTAN,518,41704649,Critical,Italian,POMODORO,A,2016-07-19T00:00:00.000,2016-07-19T00:00:00.000,Cycle Inspection / Initial Inspection,2122397019,2018-03-26T06:00:56.000,12,9 AVENUE,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10018
Violations were cited in the following area(s).,QUEENS,15846,40587915,Not Critical,Pizza/Italian,GINO'S PIZZERIA,A,2016-11-23T00:00:00.000,2016-11-23T00:00:00.000,Cycle Inspection / Initial Inspection,7187384113,2018-03-26T06:00:56.000,9,CROSSBAY BOULEVARD,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11414
Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,BRONX,,50063280,Critical,Italian,ENZO'S OF ARTHUR AVE,,,2017-05-15T00:00:00.000,Pre-permit (Operational) / Initial Inspection,7187334455,2018-03-26T06:00:56.000,42,ARTHUR AVE,04M,Live roaches present in facility's food and/or non-food areas.,10458
Violations were cited in the following area(s).,MANHATTAN,7,40546234,Critical,Japanese,KURUMAZUSHI RESTAURANT,,,2015-04-23T00:00:00.000,Cycle Inspection / Initial Inspection,2123172802,2018-03-26T06:00:56.000,20,EAST   47 STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10017
Violations were cited in the following area(s).,BROOKLYN,522,41625654,Critical,Italian,PICCOLI TRATTORIA,A,2018-02-01T00:00:00.000,2018-02-01T00:00:00.000,Cycle Inspection / Initial Inspection,7187880066,2018-03-26T06:00:56.000,13,6 AVENUE,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11215
Violations were cited in the following area(s).,STATEN ISLAND,1975,40400556,Not Critical,American,LEGEND'S PUB,,,2015-10-27T00:00:00.000,Cycle Inspection / Initial Inspection,7184421320,2018-03-26T06:00:56.000,25,VICTORY BOULEVARD,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10314
Violations were cited in the following area(s).,BROOKLYN,1410,41535326,Critical,Chinese,GOLDEN Z RESTAURANT,,,2015-02-26T00:00:00.000,Cycle Inspection / Initial Inspection,7183824328,2018-03-26T06:00:56.000,26,AVENUE U,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",11229
Violations were cited in the following area(s).,STATEN ISLAND,4168,41186427,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",El Pollo II Restaurant,A,2017-10-16T00:00:00.000,2017-10-16T00:00:00.000,Cycle Inspection / Re-inspection,7186984272,2018-03-26T06:00:56.000,12,VICTORY BOULEVARD,02B,Hot food item not held at or above 140Âº F.,10314
Violations were cited in the following area(s).,MANHATTAN,117,41601611,Critical,American,LEFT BANK,A,2014-05-21T00:00:00.000,2014-05-21T00:00:00.000,Cycle Inspection / Re-inspection,2127271170,2018-03-26T06:00:56.000,9,PERRY STREET,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10014
Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,BROOKLYN,3221,50065715,Critical,Spanish,DON CHIMI RESTAURANT,,,2018-02-27T00:00:00.000,Pre-permit (Operational) / Compliance Inspection,3474421372,2018-03-26T06:00:56.000,49,FULTON ST,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11208
Violations were cited in the following area(s).,MANHATTAN,2421,40825908,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",POLANCO RESTAURANT BBQ,,,2016-05-20T00:00:00.000,Cycle Inspection / Initial Inspection,2128621090,2018-03-26T06:00:56.000,20,ADAM CLAYTON POWELL JR B,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10030
Violations were cited in the following area(s).,MANHATTAN,433,40547272,Critical,American,DEATH & CO,,,2015-07-21T00:00:00.000,Cycle Inspection / Initial Inspection,2123880882,2018-03-26T06:00:56.000,14,EAST    6 STREET,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10009
Violations were cited in the following area(s).,BRONX,3289,40402187,Not Critical,Italian,VILLA BARONE,A,2018-01-09T00:00:00.000,2018-01-09T00:00:00.000,Cycle Inspection / Initial Inspection,7188280560,2018-03-26T06:00:56.000,12,WESTCHESTER AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10461
Violations were cited in the following area(s).,MANHATTAN,249,41628608,Critical,American,LILLIE'S,,,2016-07-19T00:00:00.000,Cycle Inspection / Initial Inspection,2129574530,2018-03-26T06:00:56.000,14,WEST   49 STREET,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10019
Violations were cited in the following area(s).,QUEENS,21816,41175823,Not Critical,Donuts,DUNKIN' DONUTS,,,2014-12-17T00:00:00.000,Cycle Inspection / Initial Inspection,7182170688,2018-03-26T06:00:56.000,23,JAMAICA AVENUE,10H,Proper sanitization not provided for utensil ware washing operation.,11428
No violations were recorded at the time of this inspection.,BROOKLYN,6625,41692971,Not Applicable,Bakery,B BO SING BAKERY,,,2018-02-24T00:00:00.000,Administrative Miscellaneous / Initial Inspection,7186212722,2018-03-26T06:00:56.000,,BAY PARKWAY,,,11204
Violations were cited in the following area(s).,MANHATTAN,3881,41038585,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",LA TERRAZA RESTAURANT,A,2015-09-28T00:00:00.000,2015-09-28T00:00:00.000,Cycle Inspection / Initial Inspection,2127950615,2018-03-26T06:00:56.000,10,BROADWAY,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,10032
Violations were cited in the following area(s).,MANHATTAN,0,40368223,Critical,Seafood,OYSTER BAR,,,2015-03-17T00:00:00.000,Cycle Inspection / Initial Inspection,2124906650,2018-03-26T06:00:56.000,24,GRAND CENTRAL TERMINAL,06F,Wiping cloths soiled or not stored in sanitizing solution.,10017
Violations were cited in the following area(s).,QUEENS,9117,50051826,Not Critical,Spanish,THE ROCK RESTAURANT & DINER,,,2017-04-17T00:00:00.000,Cycle Inspection / Initial Inspection,9173865726,2018-03-26T06:00:56.000,13,LIBERTY AVE,09C,Food contact surface not properly maintained.,11417
Violations were cited in the following area(s).,BROOKLYN,641,50019082,Critical,French,L' ANTAGONISTE,,,2015-11-14T00:00:00.000,Cycle Inspection / Initial Inspection,9179665300,2018-03-26T06:00:56.000,30,HANCOCK ST,02B,Hot food item not held at or above 140Âº F.,11233
Violations were cited in the following area(s).,STATEN ISLAND,100,40937528,Not Critical,Mexican,GARIBALDI DELI RESTAURANT,,,2017-06-27T00:00:00.000,Cycle Inspection / Initial Inspection,9174060062,2018-03-26T06:00:56.000,22,CANAL STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10304
Violations were cited in the following area(s).,QUEENS,4611,41459443,Critical,Chinese,T & T RESTAURANT,A,2016-08-10T00:00:00.000,2016-08-10T00:00:00.000,Cycle Inspection / Initial Inspection,7186610819,2018-03-26T06:00:56.000,13,KISSENA BOULEVARD,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",11355
Violations were cited in the following area(s).,STATEN ISLAND,150,41705748,Critical,Japanese,GENKI SUSHI HOUSE,,,2015-05-27T00:00:00.000,Cycle Inspection / Initial Inspection,7182138276,2018-03-26T06:00:56.000,28,GREAVES LANE,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10308
Violations were cited in the following area(s).,MANHATTAN,42,41623086,Not Critical,Chinese,SING KEE SEAFOOD RESTAURANT,A,2014-12-17T00:00:00.000,2014-12-17T00:00:00.000,Cycle Inspection / Re-inspection,2122338666,2018-03-26T06:00:56.000,13,BOWERY,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10013
Violations were cited in the following area(s).,MANHATTAN,314,40965172,Not Critical,French,L'AILE OU LA CUISSE (L'A.O.C),,,2017-12-26T00:00:00.000,Administrative Miscellaneous / Initial Inspection,2126759463,2018-03-26T06:00:56.000,,BLEECKER ST,22E,ROP processing equipment not approved by DOHMH.,10014
Violations were cited in the following area(s).,STATEN ISLAND,3935,41627762,Critical,Italian,PICCOLINO,A,2017-11-29T00:00:00.000,2017-11-29T00:00:00.000,Cycle Inspection / Re-inspection,7189675870,2018-03-26T06:00:56.000,11,AMBOY ROAD,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10308
Violations were cited in the following area(s).,STATEN ISLAND,4085,41032639,Critical,American,BETTER GOURMET HEALTH KITCHEN,,,2016-09-20T00:00:00.000,Cycle Inspection / Initial Inspection,7189830404,2018-03-26T06:00:56.000,19,VICTORY BOULEVARD,02B,Hot food item not held at or above 140Âº F.,10314
Violations were cited in the following area(s).,MANHATTAN,13,41552184,Not Critical,Chinese,NOM WAH TEA/DIM SUM PALOR,,,2017-04-17T00:00:00.000,Cycle Inspection / Initial Inspection,2129626047,2018-03-26T06:00:56.000,11,DOYERS STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10013
Violations were cited in the following area(s).,MANHATTAN,166,40834812,Critical,American,DANTE'S GOURMET FOOD,,,2016-07-15T00:00:00.000,Cycle Inspection / Initial Inspection,2122332255,2018-03-26T06:00:56.000,17,WILLIAM STREET,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10038
Violations were cited in the following area(s).,QUEENS,8117,50050178,Not Critical,Chinese,ICOOK,,,2018-03-05T00:00:00.000,Cycle Inspection / Initial Inspection,9295220889,2018-03-26T06:00:56.000,32,BROADWAY,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11373
Violations were cited in the following area(s).,QUEENS,4142,50003250,Not Critical,Chinese,GUIZHOU NOODLES HOUSE,A,2018-01-10T00:00:00.000,2018-01-10T00:00:00.000,Cycle Inspection / Initial Inspection,9178381578,2018-03-26T06:00:56.000,4,MAIN ST,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",11355
