agency,agency_name,brief_description,call_resolution,date,date_time,inquiry_name,time,unique_id
DOB,Department of Buildings,"Report a boiler that is defective, not working, has no permit, or is not registered.",Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:56:12.000,Boiler Defective or Without Permit,12:56:12 AM,90493504
FDNY,Fire Department of New York,Complaint about a potential fire hazard.,Agency Closed,2013-01-25T00:00:00.000,2013-01-25T00:57:07.000,Fire Hazard Complaint,12:57:07 AM,90493505
NYPD,New York City Police Department,"Report of carbon monoxide emission, poisoning, or detector alarm sounding. Requires immediate transfer to 911.",Information Provided,2013-01-25T00:00:00.000,2013-01-25T01:05:59.000,Carbon Monoxide Emission or Poisoning,1:05:59 AM,90493506
NYCOURTS,New York Courts,"Information and assistance for landlords and tenants with an ongoing dispute, including eviction.",Referral,2013-01-25T00:00:00.000,2013-01-25T01:08:01.000,Tenant and Landlord Disputes - Brooklyn,1:08:01 AM,90493507
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-25T00:00:00.000,2013-01-25T01:08:17.000,Heat Complaint - Residential Building - Inadequate Heat,1:08:17 AM,90493508
OCFS,NYS Office of Children and Family Services,Report of possible child abuse or neglect.,Information Provided,2013-01-25T00:00:00.000,2013-01-25T01:13:15.000,Child Abuse,1:13:15 AM,90493509
NYPD,New York City Police Department,Report noise from inside a club or bar.,CSMS SR,2013-01-25T00:00:00.000,2013-01-25T01:34:10.000,Noise from Club or Bar,1:34:10 AM,90493510
NYPD,New York City Police Department,Report a noisy neighbor.,CSMS SR,2013-01-25T00:00:00.000,2013-01-25T01:36:35.000,Noise from Neighbor,1:36:35 AM,90493511
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-25T00:00:00.000,2013-01-25T01:42:17.000,Heat Complaint - Residential Building - Inadequate Heat,1:42:17 AM,90493512
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-25T00:00:00.000,2013-01-25T01:48:04.000,Heat Complaint - Residential Building - Inadequate Heat,1:48:04 AM,90493513
DOT,Department of Transportation,Report a traffic or pedestrian signal condition.,Information Provided,2013-01-25T00:00:00.000,2013-01-25T01:56:55.000,Traffic or Pedestrian Signal Condition,1:56:55 AM,90493514
NYPD,New York City Police Department,Report noise from inside a club or bar.,CSMS SR,2013-01-25T00:00:00.000,2013-01-25T02:00:42.000,Noise from Club or Bar,2:00:42 AM,90493515
NYPD,New York City Police Department,Report noise other than an alarm from a store or commercial location.,CSMS SR,2013-01-25T00:00:00.000,2013-01-25T02:02:27.000,Noise from Store or Business,2:02:27 AM,90493516
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Routed to Web Page,2013-01-25T00:00:00.000,2013-01-25T02:05:04.000,Service Request Status - General,2:05:04 AM,90493517
HPD,Department of Housing Preservation and Development,"Report from a tenant about no water, low water pressure, scalding hot water, or no hot water in an apartment building.",Information Provided,2013-01-25T00:00:00.000,2013-01-25T02:07:01.000,Water Complaint - Apartment,2:07:01 AM,90493518
3-1-1,3-1-1 Call Center,Hidden service for activity coding.,Internal Transfer,2013-01-25T00:00:00.000,2013-01-25T02:11:05.000,Division Transfer,2:11:05 AM,90493519
DEP,Department of Environmental Protection,Report a possible water main break.,Information Provided,2013-01-25T00:00:00.000,2013-01-25T02:17:07.000,Water Main Break - Priority,2:17:07 AM,90493520
DSNY,Department of Sanitation,Request the removal of ice that is not the result of a winter snow or ice storm.,Universal Intake SR,2013-01-25T00:00:00.000,2013-01-25T02:18:37.000,Ice on Roadway - Non-Storm Condition,2:18:37 AM,90493521
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T17:34:40.000,Heat Complaint - Residential Building - Inadequate Heat,5:34:40 PM,90493522
HPD,Department of Housing Preservation and Development,Report of a housing maintenance problem.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T17:44:54.000,Landlord Complaint - Maintenance,5:44:54 PM,90493523
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T17:45:22.000,Heat Complaint - Residential Building - Inadequate Heat,5:45:22 PM,90493524
HPD,Department of Housing Preservation and Development,Information about residential heat and hot water requirements.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T17:59:37.000,Residential Heat and Hot Water Requirements,5:59:37 PM,90493525
DOB,Department of Buildings,Report of building construction outside the scope of approved plans.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T17:36:13.000,Building Construction Complaint - Illegal Construction,5:36:13 PM,90493526
DOT,Department of Transportation,Report a street cave-in.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T17:37:16.000,Cave-In In Street,5:37:16 PM,90493527
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T17:41:34.000,Heat Complaint - Residential Building - Inadequate Heat,5:41:34 PM,90493528
DSNY,Department of Sanitation,Information about recycling and trash collection days for a specific residential or non-profit address.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T17:42:41.000,Recycling and Trash Collection Schedules,5:42:41 PM,90493529
NYPD,New York City Police Department,Report of a non-emergency traffic condition.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T17:49:54.000,Traffic - Non-Emergency Condition,5:49:54 PM,90493530
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T17:53:47.000,Service Request Status - General,5:53:47 PM,90493531
TLC,Taxi and Limousine Commission,Activity Coding.,SR Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:00:44.000,Service Request Follow-Up,6:00:44 PM,90493532
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T17:53:38.000,Service Request Status - General,5:53:38 PM,90493533
NYPD,New York City Police Department,Report a noisy neighbor.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T17:55:40.000,Noise from Neighbor,5:55:40 PM,90493534
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:02:00.000,Heat Complaint - Residential Building - Inadequate Heat,6:02:00 PM,90493535
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:09:20.000,Heat Complaint - Residential Building - Inadequate Heat,6:09:20 PM,90493536
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:12:04.000,No Hot Water Complaint - Residential Building - From Tenant,6:12:04 PM,90493537
CHALL,CityHall,Inform the City that your residence is without heat or electricity due to Hurricane Sandy damage.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T18:18:44.000,Support to Residents without Heat or Electricity due to Hurricane Sandy,6:18:44 PM,90493538
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T18:19:24.000,Heat Complaint - Residential Building - Inadequate Heat,6:19:24 PM,90493539
NYCOURTS,New York Courts,"State Court information, complaints, and assistance.",Referral,2013-01-24T00:00:00.000,2013-01-24T17:59:54.000,State Court Information,5:59:54 PM,90493540
NG,National Grid,"Questions about gas bills or service from customers in Brooklyn, Staten Island and parts of Queens.",Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T18:01:42.000,National Grid Customer Service,6:01:42 PM,90493541
MTA,Metropolitan Transportation Authority,"Information or complaint about MetroCards, vending machines, and refunds.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:04:54.000,MetroCard - Information and Complaint,6:04:54 PM,90493542
DEP,Department of Environmental Protection,Information about scheduled water main shutdowns and water disruptions.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:05:55.000,Planned Water Shutdowns,6:05:55 PM,90493543
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:19:42.000,Heat Complaint - Residential Building - Inadequate Heat,6:19:42 PM,90493544
MTA,Metropolitan Transportation Authority,Information or complaint about paratransit transportation for people with disabilities.,Referral,2013-01-24T00:00:00.000,2013-01-24T18:00:46.000,Access-A-Ride Information or Complaint,6:00:46 PM,90493545
CLERK,Office of the City Clerk,Copy of marriage certificates less than 50 years old.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:02:06.000,Marriage Certificates Less than 50 Years Old,6:02:06 PM,90493546
3-1-1,3-1-1 Call Center,Hidden service for activity coding.,Out of 3-1-1 Jurisdiction,2013-01-24T00:00:00.000,2013-01-24T18:05:04.000,Outside of 311 Jurisdiction,6:05:04 PM,90493547
FDNY,Fire Department of New York,Find the location of a Firehouse in Brooklyn.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T18:06:56.000,Locate a Firehouse - Brooklyn,6:06:56 PM,90493549
NYPD,New York City Police Department,General information about the New York Police Department.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T18:08:26.000,NYPD General Information,6:08:26 PM,90493550
DOF,Department of Finance,Payment plan for drivers with many tickets or violations.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T17:19:28.000,Parking Ticket Payment Plan,5:19:28 PM,90494826
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T18:11:44.000,Heat Complaint - Residential Building - Inadequate Heat,6:11:44 PM,90493551
DOT,Department of Transportation,"Report a Muni-Meter that is damaged, not accepting coins, not reading cards, has fast or failed timing, or is not printing receipts.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:13:10.000,Muni-Meter Defective or Damaged,6:13:10 PM,90493552
DEP,Department of Environmental Protection,Information about water and sewer bills for residential and commercial accounts.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T18:15:18.000,Water and Sewer Bill Information,6:15:18 PM,90493553
DOF,Department of Finance,Pay a parking ticket over the phone.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T18:16:56.000,Pay a Parking Ticket - By Phone,6:16:56 PM,90493554
NYCOURTS,New York Courts,"Information and assistance for landlords and tenants with an ongoing dispute, including eviction.",Referral,2013-01-24T00:00:00.000,2013-01-24T18:18:22.000,Tenant and Landlord Disputes - Brooklyn,6:18:22 PM,90493555
DOT,Department of Transportation,Report a problem with a streetlight.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T18:20:54.000,Streetlight Condition,6:20:54 PM,90493556
NYPD,New York City Police Department,Report an abandoned vehicle with at least one fixed metal license plate or in-transit paper registration plate.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T18:26:08.000,Abandoned Vehicle With Plates on Public Property,6:26:08 PM,90493557
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T20:40:27.000,Heat Complaint - Residential Building - Inadequate Heat,8:40:27 PM,90493558
CONED,Con Edison,Billing questions and meter information for all of New York City except the Rockaways.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T20:50:55.000,Con Ed Electric Customer Service,8:50:55 PM,90493559
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T20:52:48.000,Heat Complaint - Residential Building - Inadequate Heat,8:52:48 PM,90493560
DEP,Department of Environmental Protection,Information about water and sewer bills for residential and commercial accounts.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:02:09.000,Water and Sewer Bill Information,9:02:09 PM,90493561
NYPD,New York City Police Department,Report a non-emergency illegally parked vehicle.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T20:39:41.000,Illegal Parking Complaint,8:39:41 PM,90493562
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T20:43:19.000,Heat Complaint - Residential Building - Inadequate Heat,8:43:19 PM,90493563
TLC,Taxi and Limousine Commission,Information for a customer who lost an item in a taxi and has the taxi medallion number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T21:03:53.000,Lost Property in a Taxi - Medallion Number Known,9:03:53 PM,90493564
DOC,Department of Correction,"Complaint about the City jail system, including threats to inmates.",CSMS SR,2013-01-24T00:00:00.000,2013-01-24T21:06:31.000,Jail System Complaint,9:06:31 PM,90493565
DOE,Department of Education,Find a school zone based on the student's address.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T20:48:26.000,Find a School Zone,8:48:26 PM,90493566
DOE,Department of Education,Find a school district by location.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T20:53:12.000,Find a School District by Location,8:53:12 PM,90493567
DOE,Department of Education,Hidden service for activity coding.,Referral,2013-01-24T00:00:00.000,2013-01-24T20:54:28.000,Division Referral,8:54:28 PM,90493568
NYPD,New York City Police Department,Report a noisy neighbor.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T20:56:38.000,Noise from Neighbor,8:56:38 PM,90493569
NYPD,New York City Police Department,Report a vehicle that is blocking a driveway.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T20:54:09.000,Vehicle Blocking Driveway Complaint,8:54:09 PM,90493570
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T20:58:35.000,Heat Complaint - Residential Building - Inadequate Heat,8:58:35 PM,90493571
DOT,Department of Transportation,Report a traffic or pedestrian signal condition.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:03:19.000,Traffic or Pedestrian Signal Condition,9:03:19 PM,90493572
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:11:39.000,Heat Complaint - Residential Building - Inadequate Heat,9:11:39 PM,90493573
DSNY,Department of Sanitation,Information about how to recycle rechargeable batteries.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:02:53.000,Rechargeable Battery Recycling,9:02:53 PM,90493574
NYPD,New York City Police Department,Report of trespassing occurring right now. Requires immediate transfer to 911.,Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T21:07:20.000,Trespassing - In Progress,9:07:20 PM,90493575
MTA,Metropolitan Transportation Authority,Information or complaint about City buses and subways.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:07:20.000,Bus or Subway - Information and Complaint,9:07:20 PM,90493576
MTA,Metropolitan Transportation Authority,Information or complaint about City buses and subways.,Referral,2013-01-24T00:00:00.000,2013-01-24T21:08:51.000,Bus or Subway - Information and Complaint,9:08:51 PM,90493577
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T21:09:11.000,Heat Complaint - Residential Building - Inadequate Heat,9:09:11 PM,90493578
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T21:29:23.000,Heat Complaint - Residential Building - Inadequate Heat,9:29:23 PM,90493579
MTA,Metropolitan Transportation Authority,Information or complaint about City buses and subways.,Referral,2013-01-24T00:00:00.000,2013-01-24T21:43:46.000,Bus or Subway - Information and Complaint,9:43:46 PM,90493609
TLC,Taxi and Limousine Commission,Information for a customer who lost an item in a taxi and has the taxi medallion number.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:38:33.000,Lost Property in a Taxi - Medallion Number Known,9:38:33 PM,90493580
MTA,Metropolitan Transportation Authority,Information or complaint for the Metro-North Railroad system.,Referral,2013-01-24T00:00:00.000,2013-01-24T21:09:53.000,Metro-North Railroad - Information and Complaint,9:09:53 PM,90493581
NYPD,New York City Police Department,Report a vehicle that is blocking a driveway.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T21:12:00.000,Vehicle Blocking Driveway Complaint,9:12:00 PM,90493582
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T21:19:27.000,Service Request Status - General,9:19:27 PM,90493583
DOF,Department of Finance,Location of a vehicle that may have been towed. Must know license plate number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T21:21:51.000,Find a Towed Vehicle - Plate Number Known,9:21:51 PM,90493584
NYPD,New York City Police Department,Find a precinct or police service area (PSA) for a specific address.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:28:31.000,Find a Police Precinct or PSA by Location,9:28:31 PM,90493585
DOT,Department of Transportation,Report a traffic or pedestrian signal condition.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:17:53.000,Traffic or Pedestrian Signal Condition,9:17:53 PM,90493586
DEP,Department of Environmental Protection,Report a possible water main break.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:19:57.000,Water Main Break - Priority,9:19:57 PM,90493587
DOT,Department of Transportation,Report a traffic or pedestrian signal condition.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:25:01.000,Traffic or Pedestrian Signal Condition,9:25:01 PM,90493588
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:27:55.000,Heat Complaint - Residential Building - Inadequate Heat,9:27:55 PM,90493589
DOT,Department of Transportation,Report a traffic or pedestrian signal condition.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:44:19.000,Traffic or Pedestrian Signal Condition,9:44:19 PM,90493590
NYCOURTS,New York Courts,"Information and assistance for landlords and tenants with an ongoing dispute, including eviction.",Agency Closed,2013-01-24T00:00:00.000,2013-01-24T21:18:35.000,Tenant and Landlord Disputes - Queens,9:18:35 PM,90493591
HPD,Department of Housing Preservation and Development,Report of a housing maintenance problem.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:23:15.000,Landlord Complaint - Maintenance,9:23:15 PM,90493592
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T21:24:32.000,Heat Complaint - Residential Building - Inadequate Heat,9:24:32 PM,90493593
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:24:41.000,No Hot Water Complaint - Residential Building - From Tenant,9:24:41 PM,90493594
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T21:27:32.000,Heat Complaint - Residential Building - Inadequate Heat,9:27:32 PM,90493595
NYPD,New York City Police Department,Hidden service for activity coding.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T21:30:18.000,Division Transfer,9:30:18 PM,90493596
3-1-1,3-1-1 Call Center,311 does not interpret parking signs or traffic rules at any specific location.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:32:27.000,Interpreting Parking or Traffic Sign or Regulation,9:32:27 PM,90493597
DOT,Department of Transportation,Parking sign information for any New York City block.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:34:36.000,Parking Sign Locator,9:34:36 PM,90493598
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T21:35:10.000,Heat Complaint - Residential Building - Inadequate Heat,9:35:10 PM,90493599
DOF,Department of Finance,Location of a vehicle that may have been towed. Must know license plate number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T21:30:14.000,Find a Towed Vehicle - Plate Number Known,9:30:14 PM,90493600
DOF,Department of Finance,How to reclaim a vehicle towed by the Police Department.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:36:34.000,Reclaim a Towed Vehicle - NYPD,9:36:34 PM,90493601
NYPD,New York City Police Department,Find a precinct or police service area (PSA) for a specific address.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:39:40.000,Find a Police Precinct or PSA by Location,9:39:40 PM,90493602
NYPD,New York City Police Department,Hidden service for activity coding.,Transfer to City Agency,2013-01-24T00:00:00.000,2013-01-24T21:42:26.000,Division Transfer,9:42:26 PM,90493603
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T21:41:04.000,Heat Complaint - Residential Building - Inadequate Heat,9:41:04 PM,90493604
HPD,Department of Housing Preservation and Development,Department of Housing Preservation and Development request status not found in Service Request Lookup.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:47:49.000,Service Request Status - HPD Status Not Found,9:47:49 PM,90493605
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T21:49:12.000,Service Request Status - General,9:49:12 PM,90493606
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Universal Intake SR,2013-01-24T00:00:00.000,2013-01-24T21:50:33.000,Heat Complaint - Residential Building - Inadequate Heat,9:50:33 PM,90493607
HPD,Department of Housing Preservation and Development,Report of a housing maintenance problem.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:55:45.000,Landlord Complaint - Maintenance,9:55:45 PM,90493608
NYPD,New York City Police Department,Report a noisy neighbor.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T22:25:30.000,Noise from Neighbor,10:25:30 PM,90493640
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T21:47:15.000,Heat Complaint - Residential Building - Inadequate Heat,9:47:15 PM,90493610
NYPD,New York City Police Department,Report a noisy neighbor.,CSMS SR,2013-01-24T00:00:00.000,2013-01-24T21:50:23.000,Noise from Neighbor,9:50:23 PM,90493611
NYPD,New York City Police Department,"Report any type of harassment, including sexual harassment, cat calling, and voyeurism. Requires immediate transfer to 911.",Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T21:52:31.000,Harassment,9:52:31 PM,90493612
NYPD,New York City Police Department,"Report any type of harassment, including sexual harassment, cat calling, and voyeurism. Requires immediate transfer to 911.",Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T21:56:38.000,Harassment,9:56:38 PM,90493613
DOF,Department of Finance,Location of a vehicle that may have been towed. Must know license plate number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T21:44:11.000,Find a Towed Vehicle - Plate Number Known,9:44:11 PM,90493614
DEP,Department of Environmental Protection,Request repair of a broken or leaking water meter.,Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T21:52:40.000,Water Meter Broken or Leaking - Priority,9:52:40 PM,90493615
HPD,Department of Housing Preservation and Development,Report from a tenant about no hot water or not enough hot water in an apartment building.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:54:35.000,No Hot Water Complaint - Residential Building - From Tenant,9:54:35 PM,90493616
HPD,Department of Housing Preservation and Development,"Complaint that an apartment, house, or single room occupancy is too cold.",Internal Transfer,2013-01-24T00:00:00.000,2013-01-24T21:56:52.000,Heat Complaint - Residential Building - Inadequate Heat,9:56:52 PM,90493617
DOF,Department of Finance,Status of a parking ticket. Must know ticket or license plate number.,Routed to Web Page,2013-01-24T00:00:00.000,2013-01-24T21:57:01.000,Parking Ticket Lookup - Ticket or Plate Number Known,9:57:01 PM,90493618
HPD,Department of Housing Preservation and Development,Department of Housing Preservation and Development request status not found in Service Request Lookup.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:47:15.000,Service Request Status - HPD Status Not Found,9:47:15 PM,90493619
DOHMH,Department of Health and Mental Hygiene,Complaints about inadequate heat in a commercial or other non-residential building are accepted.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T21:51:11.000,Heat Complaint in Non-Residential Building,9:51:11 PM,90493620
HPD,Department of Housing Preservation and Development,Information for building owners on correcting or clearing a violation received from the Department of Housing Preservation and Development.,Agency Closed,2013-01-24T00:00:00.000,2013-01-24T21:52:16.000,Landlord Information - Removing HPD Violation - Queens,9:52:16 PM,90493621
NYPD,New York City Police Department,Report a dangerous situation to 911.,Hot Transfer 911,2013-01-24T00:00:00.000,2013-01-24T21:53:27.000,Dangerous Location or Situation,9:53:27 PM,90493622
